loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.008013352709170639,0.018031999468803406,4.5000049587432565e-05,1.0,100832,,,,,,,,,,
,,,1.0,100832,0.0021209230180829763,0.9984851039352587,990.8905,407.036,25.44,,,,,
0.0024520713009557357,0.00010521661170059815,4.0000049587432566e-05,2.0,201664,,,,,,,,,,
,,,2.0,201664,0.002254121471196413,0.9984255990161853,997.045,404.523,25.283,,,,,
0.002024320222884275,0.0003027651982847601,3.5000049587432566e-05,3.0,302496,,,,,,,,,,
,,,3.0,302496,0.00159309315495193,0.9988297365915583,990.1629,407.335,25.458,,,,,
0.001793585668023296,0.0007789449882693589,3.000004958743256e-05,4.0,403328,,,,,,,,,,
,,,4.0,403328,0.0015841610729694366,0.998683453665503,992.5956,406.337,25.396,,,,,
0.0016884016862032112,6.757733899576124e-06,2.500004958743256e-05,5.0,504160,,,,,,,,,,
,,,5.0,504160,0.0013586131390184164,0.998866927165979,992.5047,406.374,25.398,,,,,
0.0015354330522300552,0.008479790762066841,2.000004958743256e-05,6.0,604992,,,,,,,,,,
,,,6.0,604992,0.0014161360450088978,0.998866927165979,991.196,406.91,25.432,,,,,
0.001485948674605408,0.0006035559345036745,1.5000049587432563e-05,7.0,705824,,,,,,,,,,
,,,7.0,705824,0.0013063331134617329,0.9988842827673754,990.6152,407.149,25.447,,,,,
0.0014150671563955082,0.002979600103572011,1.0000049587432561e-05,8.0,806656,,,,,,,,,,
,,,8.0,806656,0.0014002752723172307,0.9988247778483021,988.7702,407.909,25.494,,,,,
0.0013160122950392576,1.1132434606552124,5.000049587432561e-06,9.0,907488,,,,,,,,,,
,,,9.0,907488,0.001371881109662354,0.9988793240241193,987.6165,408.385,25.524,,,,,
0.0012701192533201885,1.6159376059476926e-07,4.9587432561091716e-11,10.0,1008320,,,,,,,,,,
,,,10.0,1008320,0.0013520891079679132,0.9989214733417963,993.2695,406.061,25.379,,,,,
,,,10.0,1008320,,,,,,61808.7067,261.017,16.314,8.783441460323942e+17,0.0022994312018827573
