fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,roc_auc,fit_time,score_time
1,0.5634642857142858,0.6126095393538629,0.5634642857142858,0.551578011455984,0.6126095393538629,0.5634642857142856,0.5515780114559841,0.5388105734537815,0.9084985,6.986442804336548,0.09799003601074219
2,0.5801428571428572,0.600448936184216,0.5801428571428572,0.5640492982652273,0.6004489361842161,0.5801428571428572,0.5640492982652272,0.554071304270858,0.9088139271978021,7.050023555755615,0.0917055606842041
3,0.5645714285714286,0.6133920882167685,0.5645714285714286,0.5572366746123032,0.6133920882167685,0.5645714285714286,0.5572366746123032,0.5364093000157468,0.9047680302197803,5.9149792194366455,0.10356354713439941
4,0.5520714285714285,0.5897885347708409,0.5520714285714285,0.5380964882755567,0.589788534770841,0.5520714285714287,0.5380964882755567,0.5259731830127774,0.908053346153846,7.626033544540405,0.0737764835357666
5,0.4818571428571429,0.48472267734783087,0.4818571428571429,0.44476611436602237,0.48472267734783087,0.4818571428571429,0.4447661143660225,0.4475594587294564,0.865580885302198,7.250005006790161,0.08098864555358887
