loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.007681563633731417,0.5254192352294922,4.5000049587432565e-05,1.0,100832,,,,,,,,,,
,,,1.0,100832,0.0026512467302381992,0.9980983219612821,981.4168,410.965,25.685,,,,,
0.0023718346341834377,0.009228445589542389,4.0000049587432566e-05,2.0,201664,,,,,,,,,,
,,,2.0,201664,0.0021997091826051474,0.9984429546175817,986.9316,408.669,25.542,,,,,
0.0019797706785598507,0.00010721250873757526,3.5000049587432566e-05,3.0,302496,,,,,,,,,,
,,,3.0,302496,0.0019325710600242019,0.9986189900031736,983.4493,410.116,25.632,,,,,
0.0017883278989897801,4.5440216922543186e-07,3.000004958743256e-05,4.0,403328,,,,,,,,,,
,,,4.0,403328,0.0018290188163518906,0.998638824976198,984.7713,409.565,25.598,,,,,
0.0016289793926736584,4.871176770393504e-06,2.500004958743256e-05,5.0,504160,,,,,,,,,,
,,,5.0,504160,0.0018309442093595862,0.9986735361789908,981.9874,410.726,25.67,,,,,
0.0015257286367171229,5.9555077314144e-07,2.000004958743256e-05,6.0,604992,,,,,,,,,,
,,,6.0,604992,0.0018067244673147798,0.998777669787369,989.6093,407.563,25.473,,,,,
0.001454336686347712,0.09652271121740341,1.5000049587432563e-05,7.0,705824,,,,,,,,,,
,,,7.0,705824,0.0017204727046191692,0.9987627935576008,983.7733,409.981,25.624,,,,,
0.0013419373456881713,5.111722884976189e-07,1.0000049587432561e-05,8.0,806656,,,,,,,,,,
,,,8.0,806656,0.0018127047223970294,0.9987851079022533,981.2695,411.027,25.689,,,,,
0.001304508125694999,0.0005803845706395805,5.000049587432561e-06,9.0,907488,,,,,,,,,,
,,,9.0,907488,0.0017840289510786533,0.9987677523008569,987.4112,408.47,25.529,,,,,
0.0012284185499737883,6.337758122754167e-07,4.9587432561091716e-11,10.0,1008320,,,,,,,,,,
,,,10.0,1008320,0.0017809270648285747,0.9988173397334179,983.8586,409.945,25.622,,,,,
,,,10.0,1008320,,,,,,61485.2645,262.39,16.399,8.78342606756905e+17,0.0022305405582559936
