fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,roc_auc,fit_time,score_time
1,0.8486785714285714,0.8742575685373769,0.8486785714285714,0.8299272323211722,0.874257568537377,0.8486785714285715,0.8299272323211723,0.8417572135417312,0.9867720260989011,8.951548337936401,0.15818405151367188
2,0.8396785714285714,0.8729535700146644,0.8396785714285714,0.8215530823954027,0.8729535700146646,0.8396785714285716,0.8215530823954028,0.8321419283035268,0.9872623557692309,5.62117075920105,0.10248398780822754
3,0.8566785714285714,0.8830230485543797,0.8566785714285714,0.8362139597720089,0.8830230485543796,0.8566785714285714,0.8362139597720087,0.8500118854344142,0.9854049642857143,5.851911544799805,0.10329413414001465
4,0.8630357142857142,0.8902258832284188,0.8630357142857142,0.8428776341678745,0.8902258832284188,0.8630357142857142,0.8428776341678746,0.8569196343956125,0.9866994326923078,7.9698567390441895,0.15935516357421875
5,0.8630714285714286,0.8948864766336195,0.8630714285714286,0.8433812648951977,0.8948864766336196,0.8630714285714286,0.843381264895198,0.8568460128104626,0.9872424326923076,8.75014853477478,0.15490150451660156
