numero_experimento,descripcion_experimento,scaler,rebalanceo,n,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,B_fit_time,B_score_time,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted
1,RobustScaler + RUS/SMOTE,RobustScaler,RUS_SMOTE,10000,1,703136,140000,175784,0.18132829666137695,7.711446523666382,0.9558094024484595,0.9675865180991469,0.9558094024484595,0.9598614598716151,0.6284506662083617,0.9010415574529068,0.6937135067093406,0.9388585051179302,0.9894273719416463,4.386887614155089e-05,0.0035270950975879573,0.09895844254709332,0.00518873381469088,0.04419059755154053
1,RobustScaler + RUS/SMOTE,RobustScaler,RUS_SMOTE,10000,2,703136,140000,175784,0.1974809169769287,9.712012529373169,0.9560597096436536,0.9675608258279906,0.9560597096436536,0.9600518349554852,0.6351099691748725,0.8914346562008321,0.6981883893205874,0.9391687387379538,0.989416198286414,5.524969581630393e-05,0.0035174196603631855,0.1085653437991679,0.005303584888738175,0.043940290356346424
1,RobustScaler + RUS/SMOTE,RobustScaler,RUS_SMOTE,10000,3,703136,140000,175784,0.1600630283355713,9.543654203414917,0.9573852000182042,0.9665604765211907,0.9573852000182042,0.9602660439030749,0.6388881867658975,0.8752434369704253,0.7092160391831791,0.9408809766832668,0.9905473245952043,5.429193898998155e-05,0.0034454274976313372,0.12475656302957475,0.005621184985042875,0.04261479998179584
1,RobustScaler + RUS/SMOTE,RobustScaler,RUS_SMOTE,10000,4,703136,140000,175784,0.1979973316192627,9.039346933364868,0.9561905520411415,0.9676776306736582,0.9561905520411415,0.9601593515681704,0.6357468702653186,0.9468808221981534,0.6999158906433943,0.9393838367448623,0.990162835514186,5.142303584720377e-05,0.0034961964828392677,0.05311917780184661,0.005137302800891142,0.0438094479588586
1,RobustScaler + RUS/SMOTE,RobustScaler,RUS_SMOTE,10000,5,703136,140000,175784,0.2073497772216797,9.578341960906982,0.956935784826833,0.9678592235985886,0.956935784826833,0.9606785942202023,0.6304128713954498,0.9452915021731245,0.6963843254092525,0.9403498762415242,0.9901666644932478,5.448927070101365e-05,0.003444130722005243,0.054708497826875334,0.005153614934906337,0.04306421517316707
