NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,ACCURACY,PRECISION WEIGHTED,RECALL WEIGHTED,F1 WEIGHTED,PRECISION MACRO,RECALL MACRO,F1 MACRO,FPR WEIGHTED,FNR WEIGHTED,FPR MACRO,FNR MACRO,MCC,AUC-ROC,DETECTION LATENCY (S),FIT TIME,SCORE TIME
1,StandardScaler + Sin rebalanceo + Sin PCA + Logistic Regression,logreg,StandardScaler,NONE,Sin PCA,0.973658,0.974254,0.973658,0.973605,0.816702,0.716215,0.739333,0.004933,0.026342,0.002085,0.283785,0.967930,0.997864,0.000000,323.315787,0.036681
2,StandardScaler + Sin rebalanceo + Sin PCA + KNN,knn,StandardScaler,NONE,Sin PCA,0.987497,0.987999,0.987497,0.987606,0.924557,0.918375,0.912493,0.001929,0.012503,0.000962,0.081625,0.984753,0.996887,0.000500,0.252704,167.764985
3,StandardScaler + Sin rebalanceo + Sin PCA + MLP,mlp,StandardScaler,NONE,Sin PCA,0.988061,0.988771,0.988061,0.988178,0.871710,0.837973,0.840655,0.001621,0.011939,0.000904,0.162027,0.985473,0.999223,0.000000,93.884594,0.139218
4,StandardScaler + RUS/SMOTE + Sin PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE,Sin PCA,0.944925,0.971807,0.944925,0.955756,0.638796,0.920707,0.650445,0.003669,0.055075,0.003916,0.079293,0.934723,0.994286,0.000000,20.420923,0.037398
5,StandardScaler + RUS/SMOTE + Sin PCA + KNN,knn,StandardScaler,RUS_SMOTE,Sin PCA,0.979743,0.983188,0.979743,0.980670,0.780054,0.949645,0.819372,0.001849,0.020257,0.001474,0.050355,0.975571,0.993406,0.000049,0.017231,16.399916
6,StandardScaler + RUS/SMOTE + Sin PCA + MLP,mlp,StandardScaler,RUS_SMOTE,Sin PCA,0.975952,0.982017,0.975952,0.978011,0.706958,0.945628,0.746993,0.002332,0.024048,0.001759,0.054372,0.971043,0.998234,0.000000,12.591110,0.142945
7,StandardScaler + RUS/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.944815,0.971588,0.944815,0.955696,0.639151,0.918748,0.650494,0.003795,0.055185,0.003932,0.081252,0.934538,0.994388,0.000000,23.439719,0.038490
8,StandardScaler + RUS/SMOTE/ENN + Sin PCA + KNN,knn,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.978266,0.981323,0.978266,0.979213,0.773988,0.947964,0.815211,0.002539,0.021734,0.001618,0.052036,0.973668,0.993453,0.000050,0.028672,16.875730
9,StandardScaler + RUS/SMOTE/ENN + Sin PCA + MLP,mlp,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.979227,0.983063,0.979227,0.980407,0.718355,0.952262,0.763687,0.002041,0.020773,0.001521,0.047738,0.974915,0.998436,0.000000,23.126666,0.145314
10,StandardScaler + NearMiss/SMOTE + Sin PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE,Sin PCA,0.482564,0.794332,0.482564,0.529172,0.438173,0.745920,0.388261,0.018987,0.517436,0.035761,0.254080,0.464047,0.797633,0.000000,23.074497,0.036034
11,StandardScaler + NearMiss/SMOTE + Sin PCA + KNN,knn,StandardScaler,NearMiss_SMOTE,Sin PCA,0.398243,0.853589,0.398243,0.468915,0.503755,0.696704,0.398154,0.014781,0.601757,0.041103,0.303296,0.387169,0.696290,0.000055,0.015488,18.579171
12,StandardScaler + NearMiss/SMOTE + Sin PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE,Sin PCA,0.523126,0.880563,0.523126,0.585580,0.486293,0.768227,0.434631,0.012954,0.476874,0.032655,0.231773,0.508290,0.785712,0.000000,27.024883,0.156936
13,StandardScaler + NearMiss/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE_ENN,Sin PCA,0.478180,0.796292,0.478180,0.523386,0.430670,0.742584,0.379512,0.019441,0.521820,0.036084,0.257416,0.459017,0.797791,0.000000,12.300690,0.035456
14,StandardScaler + NearMiss/SMOTE/ENN + Sin PCA + KNN,knn,StandardScaler,NearMiss_SMOTE_ENN,Sin PCA,0.399060,0.853198,0.399060,0.470143,0.505388,0.703928,0.402466,0.014709,0.600940,0.041043,0.296072,0.387980,0.696889,0.000060,0.053006,20.234952
15,StandardScaler + NearMiss/SMOTE/ENN + Sin PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE_ENN,Sin PCA,0.487500,0.877571,0.487500,0.553312,0.472082,0.739083,0.407338,0.013054,0.512500,0.035037,0.260917,0.471810,0.758617,0.000000,47.159119,0.161116
16,RobustScaler + Sin rebalanceo + Sin PCA + Logistic Regression,logreg,RobustScaler,NONE,Sin PCA,0.631272,0.760325,0.631272,0.620044,0.341646,0.357790,0.318054,0.040173,0.368728,0.027260,0.642210,0.591987,0.880474,0.000000,493.722586,0.036245
17,RobustScaler + Sin rebalanceo + Sin PCA + KNN,knn,RobustScaler,NONE,Sin PCA,0.987041,0.987517,0.987041,0.987138,0.936806,0.919538,0.914811,0.001968,0.012959,0.000995,0.080462,0.984194,0.996748,0.000595,0.343855,199.622361
18,RobustScaler + Sin rebalanceo + Sin PCA + MLP,mlp,RobustScaler,NONE,Sin PCA,0.957511,0.962553,0.957511,0.957816,0.820236,0.773183,0.767252,0.004338,0.042489,0.003122,0.226817,0.949250,0.964469,0.000000,110.227889,0.162257
19,RobustScaler + RUS/SMOTE + Sin PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE,Sin PCA,0.159004,0.379986,0.159004,0.153373,0.166649,0.318909,0.121382,0.028571,0.840996,0.057971,0.681091,0.140923,0.817835,0.000000,42.659465,0.034729
20,RobustScaler + RUS/SMOTE + Sin PCA + KNN,knn,RobustScaler,RUS_SMOTE,Sin PCA,0.973062,0.978769,0.973062,0.974583,0.747387,0.937333,0.791979,0.002035,0.026938,0.001932,0.062667,0.967647,0.991867,0.000060,0.023816,19.982180
21,RobustScaler + RUS/SMOTE + Sin PCA + MLP,mlp,RobustScaler,RUS_SMOTE,Sin PCA,0.935184,0.958538,0.935184,0.942147,0.641177,0.926449,0.680794,0.003911,0.064816,0.004582,0.073551,0.923616,0.958731,0.000000,91.056009,0.146833
22,RobustScaler + RUS/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE_ENN,Sin PCA,0.246779,0.429102,0.246779,0.218069,0.205012,0.319224,0.170965,0.034677,0.753221,0.052527,0.680776,0.230948,0.821322,0.000000,57.207064,0.035494
23,RobustScaler + RUS/SMOTE/ENN + Sin PCA + KNN,knn,RobustScaler,RUS_SMOTE_ENN,Sin PCA,0.972615,0.976985,0.972615,0.974024,0.739805,0.933491,0.787262,0.003071,0.027385,0.002030,0.066509,0.966846,0.991402,0.000078,0.035702,26.180666
24,RobustScaler + RUS/SMOTE/ENN + Sin PCA + MLP,mlp,RobustScaler,RUS_SMOTE_ENN,Sin PCA,0.942432,0.955958,0.942432,0.945750,0.629649,0.929109,0.678358,0.004817,0.057568,0.004159,0.070891,0.931614,0.955654,0.000000,17.475222,0.144529
25,RobustScaler + NearMiss/SMOTE + Sin PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE,Sin PCA,0.251646,0.708390,0.251646,0.232669,0.280339,0.398109,0.173942,0.035736,0.748354,0.052273,0.601891,0.235187,0.738456,0.000000,112.294566,0.043693
26,RobustScaler + NearMiss/SMOTE + Sin PCA + KNN,knn,RobustScaler,NearMiss_SMOTE,Sin PCA,0.348596,0.914536,0.348596,0.423652,0.522992,0.630938,0.353493,0.012408,0.651404,0.044254,0.369062,0.338634,0.673583,0.000080,0.023749,26.715655
