NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,μ ACCURACY,σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED,σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ FPR WEIGHTED,σ FPR WEIGHTED,μ FNR WEIGHTED,σ FNR WEIGHTED,μ FPR MACRO,σ FPR MACRO,μ FNR MACRO,σ FNR MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ DETECTION LATENCY (S),σ DETECTION LATENCY (S),μ FIT TIME,σ² FIT TIME,μ SCORE TIME,σ² SCORE TIME
1,StandardScaler + Sin rebalanceo + Sin PCA + Logistic Regression,logreg,StandardScaler,NONE,Sin PCA,0.973432,0.000354,0.974021,0.000358,0.973432,0.000354,0.973411,0.000356,0.790482,0.024896,0.725881,0.006503,0.743524,0.009506,0.005009,0.000101,0.026568,0.000354,0.002105,0.000030,0.274119,0.006503,0.967648,0.000432,0.997933,0.000044,0.000000,0.000000,285.986726,3742.947762,0.028914,0.000001
2,StandardScaler + Sin rebalanceo + Sin PCA + KNN,knn,StandardScaler,NONE,Sin PCA,0.987469,0.000149,0.987941,0.000141,0.987469,0.000149,0.987577,0.000147,0.940113,0.012768,0.934029,0.007593,0.932948,0.010392,0.001960,0.000050,0.012531,0.000149,0.000966,0.000013,0.065971,0.007593,0.984714,0.000181,0.996851,0.000048,0.000396,0.000027,0.220645,0.001182,106.162631,51.361366
3,StandardScaler + Sin rebalanceo + Sin PCA + MLP,mlp,StandardScaler,NONE,Sin PCA,0.988323,0.000247,0.989108,0.000188,0.988323,0.000247,0.988432,0.000238,0.896442,0.012080,0.839848,0.015031,0.848094,0.016277,0.001359,0.000083,0.011677,0.000247,0.000869,0.000018,0.160152,0.015031,0.985816,0.000293,0.999246,0.000025,0.000000,0.000000,97.714408,323.560820,0.126857,0.000751
4,StandardScaler + RUS/SMOTE + Sin PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE,Sin PCA,0.944356,0.000822,0.971139,0.000338,0.944356,0.000822,0.955000,0.000573,0.637830,0.000590,0.937040,0.013927,0.650742,0.001102,0.003712,0.000043,0.055644,0.000822,0.003957,0.000056,0.062960,0.013927,0.934089,0.000941,0.994486,0.000183,0.000000,0.000000,22.637869,2.448724,0.029103,0.000001
5,StandardScaler + RUS/SMOTE + Sin PCA + KNN,knn,StandardScaler,RUS_SMOTE,Sin PCA,0.979917,0.000256,0.983305,0.000315,0.979917,0.000256,0.980844,0.000290,0.769970,0.012410,0.944697,0.012441,0.811840,0.010275,0.001829,0.000048,0.020083,0.000256,0.001461,0.000020,0.055303,0.012441,0.975769,0.000307,0.993682,0.000154,0.000050,0.000001,0.024374,0.000023,13.529087,0.061514
6,StandardScaler + RUS/SMOTE + Sin PCA + MLP,mlp,StandardScaler,RUS_SMOTE,Sin PCA,0.974416,0.005151,0.982211,0.001256,0.974416,0.005151,0.977323,0.003432,0.706869,0.023170,0.948725,0.016128,0.742650,0.030066,0.002100,0.000188,0.025584,0.005151,0.001846,0.000352,0.051275,0.016128,0.969220,0.006109,0.998307,0.000251,0.000000,0.000000,15.032253,21.717932,0.117066,0.000024
7,StandardScaler + RUS/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.944357,0.000694,0.971003,0.000455,0.944357,0.000694,0.955062,0.000584,0.638243,0.000489,0.935613,0.012912,0.650804,0.000919,0.003824,0.000059,0.055643,0.000694,0.003964,0.000049,0.064387,0.012912,0.934024,0.000794,0.994504,0.000150,0.000000,0.000000,19.445326,2.466449,0.030705,0.000001
8,StandardScaler + RUS/SMOTE/ENN + Sin PCA + KNN,knn,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.978102,0.000223,0.980938,0.000327,0.978102,0.000223,0.979004,0.000277,0.760570,0.012790,0.941707,0.012145,0.805236,0.010775,0.002680,0.000061,0.021898,0.000223,0.001639,0.000018,0.058293,0.012145,0.973433,0.000268,0.993627,0.000170,0.000050,0.000000,0.031243,0.000139,13.424488,0.015213
9,StandardScaler + RUS/SMOTE/ENN + Sin PCA + MLP,mlp,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.977076,0.001341,0.982815,0.000912,0.977076,0.001341,0.979171,0.001077,0.706402,0.017468,0.949885,0.008003,0.741442,0.021549,0.002084,0.000202,0.022924,0.001341,0.001667,0.000092,0.050115,0.008003,0.972329,0.001597,0.998508,0.000118,0.000001,0.000000,16.986059,10.961462,0.148794,0.000541
10,StandardScaler + NearMiss/SMOTE + Sin PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE,Sin PCA,0.476477,0.003906,0.821316,0.009826,0.476477,0.003906,0.522842,0.003989,0.443607,0.003771,0.752354,0.012971,0.384850,0.002935,0.016350,0.000903,0.523523,0.003906,0.035991,0.000263,0.247646,0.012971,0.460612,0.004493,0.789542,0.002540,0.000000,0.000000,14.306479,7.622797,0.030663,0.000002
