fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,fit_time,score_time
1,0.9361467628968607,0.9464934995586342,0.9361467628968607,0.9296168199435291,0.932975852190837,0.9163926577904259,0.9061595137352348,0.9326125260898591,34.15160131454468,36.558809995651245
2,0.9337623551162625,0.9450936417172978,0.9337623551162625,0.926476842094299,0.9324732811462203,0.9133904475097807,0.9024739777531633,0.930078174712741,58.812535524368286,56.42453336715698
3,0.9351134181895755,0.9470024834226267,0.9351134181895755,0.927373016951529,0.9355275747978015,0.9147354903431818,0.9034009765017065,0.9315098522905639,35.0475709438324,44.31739807128906
4,0.934544549527128,0.9468274239583957,0.934544549527128,0.9264388709176089,0.934807867191355,0.9138077108337274,0.9017538207626871,0.9309722466523689,66.91933083534241,38.90577745437622
5,0.9360378297660528,0.9477495835552423,0.9360378297660528,0.9287683574127918,0.936298902692249,0.9159849194005382,0.9053605139430575,0.9324757485245514,62.9740149974823,39.07087516784668
