NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,ACCURACY,PRECISION WEIGHTED,RECALL WEIGHTED,F1 WEIGHTED,PRECISION MACRO,RECALL MACRO,F1 MACRO,FPR WEIGHTED,FNR WEIGHTED,FPR MACRO,FNR MACRO,MCC,AUC-ROC,DETECTION LATENCY (S),FIT TIME,SCORE TIME
1,StandardScaler + Sin rebalanceo + Sin PCA + Logistic Regression,logreg,StandardScaler,NONE,Sin PCA,0.976230,0.978871,0.976230,0.976363,0.704526,0.602774,0.618143,0.044416,0.023770,0.004546,0.397226,0.922513,0.997403,0.000000,143.700094,0.041581
2,StandardScaler + Sin rebalanceo + Sin PCA + KNN,knn,StandardScaler,NONE,Sin PCA,0.995172,0.995206,0.995172,0.995180,0.882890,0.794842,0.817944,0.008831,0.004828,0.000911,0.205158,0.983985,0.998120,0.000344,0.483428,173.344379
3,StandardScaler + Sin rebalanceo + Sin PCA + MLP,mlp,StandardScaler,NONE,Sin PCA,0.997056,0.997065,0.997056,0.996633,0.875957,0.681326,0.708919,0.009649,0.002944,0.000839,0.318674,0.990188,0.999859,0.000000,128.006681,0.186770
4,StandardScaler + RUS/SMOTE + Sin PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE,Sin PCA,0.811453,0.958179,0.811453,0.868550,0.335235,0.907369,0.405245,0.003469,0.188547,0.012801,0.092631,0.642777,0.985231,0.000000,23.049913,0.047246
5,StandardScaler + RUS/SMOTE + Sin PCA + KNN,knn,StandardScaler,RUS_SMOTE,Sin PCA,0.958644,0.981592,0.958644,0.967883,0.509116,0.906860,0.588359,0.001854,0.041356,0.002881,0.093140,0.882494,0.988080,0.000026,0.013472,12.949492
6,StandardScaler + RUS/SMOTE + Sin PCA + MLP,mlp,StandardScaler,RUS_SMOTE,Sin PCA,0.942461,0.971943,0.942461,0.953894,0.517577,0.862379,0.565844,0.001987,0.057539,0.003968,0.137621,0.845348,0.996623,0.000000,10.610007,0.186444
7,StandardScaler + RUS/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.811883,0.958079,0.811883,0.868824,0.330154,0.906502,0.397503,0.003979,0.188117,0.012806,0.093498,0.642758,0.985590,0.000000,17.440266,0.045766
8,StandardScaler + RUS/SMOTE/ENN + Sin PCA + KNN,knn,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.959501,0.981568,0.959501,0.968455,0.514366,0.894210,0.591331,0.004924,0.040499,0.003028,0.105790,0.883680,0.987450,0.000024,0.013211,12.259972
9,StandardScaler + RUS/SMOTE/ENN + Sin PCA + MLP,mlp,StandardScaler,RUS_SMOTE_ENN,Sin PCA,0.935001,0.966583,0.935001,0.947006,0.500948,0.894842,0.574814,0.002948,0.064999,0.004530,0.105158,0.829021,0.996773,0.000000,7.746678,0.183291
10,StandardScaler + NearMiss/SMOTE + Sin PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE,Sin PCA,0.130254,0.946502,0.130254,0.161968,0.240443,0.737420,0.179167,0.004901,0.869746,0.058310,0.262580,0.178980,0.412190,0.000000,21.791594,0.042333
11,StandardScaler + NearMiss/SMOTE + Sin PCA + KNN,knn,StandardScaler,NearMiss_SMOTE,Sin PCA,0.149984,0.811894,0.149984,0.199626,0.278799,0.734151,0.207317,0.069529,0.850016,0.061303,0.265849,0.145270,0.539991,0.000035,0.020087,17.843621
12,StandardScaler + NearMiss/SMOTE + Sin PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE,Sin PCA,0.162926,0.784025,0.162926,0.210277,0.236824,0.718487,0.182178,0.097806,0.837074,0.062325,0.281513,0.153390,0.579449,0.000000,14.944458,0.194893
13,StandardScaler + NearMiss/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE_ENN,Sin PCA,0.113589,0.950262,0.113589,0.149730,0.234951,0.721762,0.155944,0.002780,0.886411,0.059279,0.278238,0.159067,0.418429,0.000000,35.108176,0.053985
14,StandardScaler + NearMiss/SMOTE/ENN + Sin PCA + KNN,knn,StandardScaler,NearMiss_SMOTE_ENN,Sin PCA,0.149530,0.818806,0.149530,0.204719,0.290560,0.731954,0.218611,0.066157,0.850470,0.061108,0.268046,0.154494,0.540504,0.000047,0.017891,23.509481
15,StandardScaler + NearMiss/SMOTE/ENN + Sin PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE_ENN,Sin PCA,0.172989,0.805971,0.172989,0.235951,0.248231,0.720744,0.197245,0.089687,0.827011,0.061113,0.279256,0.175194,0.488646,0.000000,14.086515,0.247247
16,RobustScaler + Sin rebalanceo + Sin PCA + Logistic Regression,logreg,RobustScaler,NONE,Sin PCA,0.703677,0.728175,0.703677,0.715025,0.082885,0.078030,0.078456,0.607587,0.296323,0.060261,0.921970,0.082125,0.505550,0.000000,877.559449,0.047803
17,RobustScaler + Sin rebalanceo + Sin PCA + KNN,knn,RobustScaler,NONE,Sin PCA,0.992114,0.992090,0.992114,0.992091,0.887040,0.775286,0.804947,0.016252,0.007886,0.001609,0.224714,0.973805,0.995782,0.000775,1.049357,390.973456
18,RobustScaler + Sin rebalanceo + Sin PCA + MLP,mlp,RobustScaler,NONE,Sin PCA,0.981829,0.981701,0.981829,0.979831,0.849218,0.620513,0.664382,0.082425,0.018171,0.006706,0.379487,0.938402,0.992349,0.000000,390.749129,0.215664
19,RobustScaler + RUS/SMOTE + Sin PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE,Sin PCA,0.125028,0.880691,0.125028,0.209394,0.124555,0.240230,0.047012,0.005157,0.874972,0.058675,0.759770,0.064452,0.536190,0.000000,63.289601,0.056617
20,RobustScaler + RUS/SMOTE + Sin PCA + KNN,knn,RobustScaler,RUS_SMOTE,Sin PCA,0.915271,0.960077,0.915271,0.932330,0.418457,0.838593,0.499335,0.006062,0.084729,0.006053,0.161407,0.787036,0.978115,0.000067,0.022303,33.582076
21,RobustScaler + RUS/SMOTE + Sin PCA + MLP,mlp,RobustScaler,RUS_SMOTE,Sin PCA,0.815785,0.955853,0.815785,0.871600,0.341400,0.815972,0.396091,0.007060,0.184215,0.012752,0.184028,0.633774,0.922316,0.000000,40.272673,0.213288
22,RobustScaler + RUS/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,RobustScaler,RUS_SMOTE_ENN,Sin PCA,0.130355,0.890654,0.130355,0.220141,0.148920,0.241040,0.051556,0.006990,0.869645,0.058442,0.758960,0.068090,0.541959,0.000000,37.155701,0.050518
23,RobustScaler + RUS/SMOTE/ENN + Sin PCA + KNN,knn,RobustScaler,RUS_SMOTE_ENN,Sin PCA,0.929445,0.964110,0.929445,0.942974,0.434248,0.835553,0.509642,0.016412,0.070555,0.005798,0.164447,0.811133,0.976524,0.000045,0.024256,22.534313
24,RobustScaler + RUS/SMOTE/ENN + Sin PCA + MLP,mlp,RobustScaler,RUS_SMOTE_ENN,Sin PCA,0.845700,0.954857,0.845700,0.888826,0.355151,0.827820,0.409643,0.005023,0.154300,0.010622,0.172180,0.675748,0.942706,0.000001,96.424073,0.255037
25,RobustScaler + NearMiss/SMOTE + Sin PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE,Sin PCA,0.005669,0.834258,0.005669,0.002696,0.074776,0.233014,0.006946,0.002025,0.994331,0.066424,0.766986,0.006123,0.573119,0.000000,54.099484,0.056247
26,RobustScaler + NearMiss/SMOTE + Sin PCA + KNN,knn,RobustScaler,NearMiss_SMOTE,Sin PCA,0.073447,0.923701,0.073447,0.095526,0.272550,0.633470,0.156910,0.004106,0.926553,0.062044,0.366530,0.095421,0.533091,0.000069,0.019305,34.873530
27,RobustScaler + NearMiss/SMOTE + Sin PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE,Sin PCA,0.142546,0.928112,0.142546,0.213798,0.220002,0.689943,0.141781,0.005283,0.857454,0.057516,0.310057,0.129230,0.556990,0.000000,153.299241,0.241473
28,RobustScaler + NearMiss/SMOTE/ENN + Sin PCA + Logistic Regression,logreg,RobustScaler,NearMiss_SMOTE_ENN,Sin PCA,0.005589,0.834095,0.005589,0.002556,0.074581,0.232906,0.007008,0.002037,0.994411,0.066430,0.767094,0.006009,0.572141,0.000000,108.694676,0.067044
29,RobustScaler + NearMiss/SMOTE/ENN + Sin PCA + KNN,knn,RobustScaler,NearMiss_SMOTE_ENN,Sin PCA,0.082488,0.912665,0.082488,0.116345,0.286549,0.633432,0.165803,0.006648,0.917512,0.061611,0.366568,0.099730,0.540404,0.000081,0.022082,41.029434
30,RobustScaler + NearMiss/SMOTE/ENN + Sin PCA + MLP,mlp,RobustScaler,NearMiss_SMOTE_ENN,Sin PCA,0.191052,0.950108,0.191052,0.280468,0.279061,0.717861,0.222421,0.003056,0.808948,0.054134,0.282139,0.179885,0.581406,0.000001,308.533885,0.347157
