fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,roc_auc,fit_time,score_time
1,0.9881753183568135,0.9869364966163842,0.9881753183568135,0.9867320582228999,0.7249363857128853,0.5793640492605743,0.6187769522003598,0.973314061420114,0.9980957170416114,70.57954859733582,1.675771951675415
2,0.9883604095274358,0.9863207603897322,0.9883604095274358,0.9870269119467107,0.6684616234269135,0.5904016014189376,0.6212143876953583,0.9737572958569792,0.9985676506937124,92.22866606712341,1.6531407833099365
3,0.9874455303126455,0.9855557625584607,0.9874455303126455,0.9857495669435925,0.680611762321653,0.5619848866195138,0.6032963546575815,0.9716543421652118,0.9972712784987902,64.1288378238678,1.779832363128662
4,0.983397321995177,0.9825179786808232,0.983397321995177,0.9820443566755778,0.7256275266906538,0.5778779654935278,0.6114342115088552,0.9626883277500873,0.9975515960868885,70.93894982337952,1.705409288406372
5,0.9887411387367758,0.987404056113932,0.9887411387367758,0.987407879324573,0.7374724405615755,0.5895886581424581,0.619125478837806,0.9746174509273575,0.9984059628659904,109.33581280708313,1.3439655303955078
