loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.008026399675984869,0.0007768384530209005,4.5000049587432565e-05,1.0,100832,,,,,,,,,,
,,,1.0,100832,0.0027852265629917383,0.9981578223129124,1016.8781,396.633,24.79,,,,,
0.0023771438550207586,0.00027537948335520923,4.0000049587432566e-05,2.0,201664,,,,,,,,,,
,,,2.0,201664,0.0025652458425611258,0.9981925336017673,1015.7144,397.087,24.818,,,,,
0.0019531776624344827,6.954513082746416e-06,3.5000049587432566e-05,3.0,302496,,,,,,,,,,
,,,3.0,302496,0.0019999819342046976,0.9986016309347007,1016.1645,396.911,24.807,,,,,
0.0017543123548502244,4.337076097726822e-05,3.000004958743256e-05,4.0,403328,,,,,,,,,,
,,,4.0,403328,0.001896390807814896,0.9987008060457148,1013.2192,398.065,24.879,,,,,
0.001586398182502439,2.691727559067658e-06,2.500004958743256e-05,5.0,504160,,,,,,,,,,
,,,5.0,504160,0.0018707846757024527,0.998604110312476,1021.3975,394.878,24.68,,,,,
0.0015396917482967492,4.024865120300092e-05,2.000004958743256e-05,6.0,604992,,,,,,,,,,
,,,6.0,604992,0.0019816977437585592,0.9984875795570344,1013.2114,398.068,24.879,,,,,
0.0014285561547359561,1.7095638682462777e-08,1.5000049587432563e-05,7.0,705824,,,,,,,,,,
,,,7.0,705824,0.0018083889735862613,0.9987826255123015,1012.6363,398.294,24.893,,,,,
0.001371692075157347,1.8540839619163307e-06,1.0000049587432561e-05,8.0,806656,,,,,,,,,,
,,,8.0,806656,0.0017591420328244567,0.9986834504012873,1013.5449,397.937,24.871,,,,,
0.0012861820524815565,6.45161526335869e-06,5.000049587432561e-06,9.0,907488,,,,,,,,,,
,,,9.0,907488,0.0017691091634333134,0.9987528729789972,1014.4339,397.588,24.849,,,,,
0.0012265893626841088,0.013557489030063152,4.9587432561091716e-11,10.0,1008320,,,,,,,,,,
,,,10.0,1008320,0.0017654866678640246,0.998765269867874,1020.8954,395.072,24.692,,,,,
,,,10.0,1008320,,,,,,63494.433,254.087,15.88,8.783356524264161e+17,0.0022550143124148493
