fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,fit_time,score_time
1,0.6588,0.6220857629435732,0.6588,0.6308869103966197,0.6220857629435733,0.6587999999999999,0.6308869103966196,0.6370944743809995,8.10248613357544,0.052561283111572266
2,0.6635,0.6287740477130452,0.6635,0.6363581283957677,0.6287740477130453,0.6635000000000001,0.6363581283957677,0.6422025331344803,9.76224398612976,0.10455870628356934
3,0.6579666666666667,0.6207605428012248,0.6579666666666667,0.6296899854835479,0.6207605428012248,0.6579666666666667,0.6296899854835478,0.6362623561470063,5.141703128814697,0.14481639862060547
4,0.6608666666666667,0.6205683500184418,0.6608666666666667,0.6292828199676351,0.6205683500184418,0.6608666666666666,0.629282819967635,0.6402871219268602,7.624767780303955,0.10403680801391602
5,0.6559,0.61529064721146,0.6559,0.6233022800676242,0.61529064721146,0.6559,0.6233022800676243,0.6351925112087895,5.432685375213623,0.09496426582336426
