NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,μ ACCURACY,σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED,σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ FPR WEIGHTED,σ FPR WEIGHTED,μ FNR WEIGHTED,σ FNR WEIGHTED,μ FPR MACRO,σ FPR MACRO,μ FNR MACRO,σ FNR MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ DETECTION LATENCY (S),σ DETECTION LATENCY (S),μ FIT TIME,σ² FIT TIME,μ SCORE TIME,σ² SCORE TIME
1,StandardScaler + Sin rebalanceo + PCA + Logistic Regression,logreg,StandardScaler,NONE,PCA,0.946581,0.000522,0.946073,0.000420,0.946581,0.000522,0.943232,0.000548,0.756231,0.008801,0.546064,0.005304,0.586203,0.004241,0.026888,0.000358,0.053419,0.000522,0.005736,0.000061,0.453936,0.005304,0.924402,0.000730,0.993940,0.000135,0.000000,0.000000,104.870312,299.105091,0.018197,0.000002
2,StandardScaler + Sin rebalanceo + PCA + KNN,knn,StandardScaler,NONE,PCA,0.995042,0.000118,0.995086,0.000121,0.995042,0.000118,0.995048,0.000119,0.917244,0.014272,0.908878,0.024977,0.909194,0.015142,0.001159,0.000084,0.004958,0.000118,0.000437,0.000014,0.091122,0.024977,0.992957,0.000168,0.999091,0.000103,0.000204,0.000019,0.096969,0.000206,35.772861,10.616112
3,StandardScaler + Sin rebalanceo + PCA + MLP,mlp,StandardScaler,NONE,PCA,0.987304,0.000386,0.987579,0.000684,0.987304,0.000386,0.986482,0.001069,0.790427,0.033113,0.694499,0.036054,0.701274,0.030416,0.004628,0.001423,0.012696,0.000386,0.001237,0.000125,0.305501,0.036054,0.981948,0.000562,0.999339,0.000041,0.000000,0.000000,132.126356,2840.141246,0.067214,0.000021
4,StandardScaler + RUS/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE,PCA,0.879359,0.001955,0.943937,0.000798,0.879359,0.001955,0.899464,0.001663,0.474506,0.003754,0.823403,0.028365,0.523699,0.002800,0.015497,0.000185,0.120641,0.001955,0.009724,0.000147,0.176597,0.028365,0.844600,0.002282,0.977828,0.000458,0.000000,0.000000,33.903869,12.461365,0.016785,0.000001
5,StandardScaler + RUS/SMOTE + PCA + KNN,knn,StandardScaler,RUS_SMOTE,PCA,0.983104,0.000908,0.988932,0.000450,0.983104,0.000908,0.985260,0.000721,0.698337,0.006489,0.933370,0.029647,0.750169,0.007126,0.000964,0.000110,0.016896,0.000908,0.001276,0.000071,0.066630,0.029647,0.976343,0.001249,0.995478,0.000409,0.000062,0.000009,0.017008,0.000009,10.978211,2.473124
6,StandardScaler + RUS/SMOTE + PCA + MLP,mlp,StandardScaler,RUS_SMOTE,PCA,0.936235,0.003756,0.969362,0.010770,0.936235,0.003756,0.949268,0.007289,0.617754,0.010206,0.853945,0.038170,0.655266,0.008695,0.008801,0.005224,0.063765,0.003756,0.005183,0.000577,0.146055,0.038170,0.914427,0.005045,0.990077,0.001950,0.000000,0.000000,57.918903,2373.149622,0.071423,0.000035
7,StandardScaler + RUS/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE_ENN,PCA,0.882245,0.000853,0.944989,0.000619,0.882245,0.000853,0.902029,0.000951,0.478492,0.004044,0.828788,0.031635,0.527191,0.003984,0.015149,0.000488,0.117755,0.000853,0.009493,0.000088,0.171212,0.031635,0.847925,0.000898,0.978957,0.001354,0.000000,0.000000,24.716227,20.460352,0.018299,0.000013
8,StandardScaler + RUS/SMOTE/ENN + PCA + KNN,knn,StandardScaler,RUS_SMOTE_ENN,PCA,0.984303,0.000730,0.988594,0.000396,0.984303,0.000730,0.985847,0.000598,0.703029,0.002771,0.918745,0.041811,0.753104,0.002265,0.001278,0.000128,0.015697,0.000730,0.001212,0.000056,0.081255,0.041811,0.977940,0.001008,0.994740,0.000325,0.000060,0.000005,0.023397,0.000056,10.591394,0.636019
9,StandardScaler + RUS/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,RUS_SMOTE_ENN,PCA,0.940228,0.002278,0.963008,0.000634,0.940228,0.002278,0.948423,0.001507,0.633353,0.008775,0.860204,0.038175,0.670775,0.006330,0.012449,0.000151,0.059772,0.002278,0.005159,0.000159,0.139796,0.038175,0.919108,0.002914,0.990981,0.002231,0.000000,0.000000,38.297253,390.751269,0.070344,0.000032
10,StandardScaler + NearMiss/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE,PCA,0.330625,0.037068,0.886096,0.036501,0.330625,0.037068,0.390520,0.043725,0.308024,0.014451,0.707887,0.027541,0.240677,0.016049,0.015115,0.007087,0.669375,0.037068,0.048892,0.002406,0.292113,0.027541,0.321240,0.030698,0.583283,0.030038,0.000000,0.000000,23.747897,7.717469,0.018293,0.000004
