NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,ACCURACY,PRECISION WEIGHTED,RECALL WEIGHTED,F1 WEIGHTED,PRECISION MACRO,RECALL MACRO,F1 MACRO,FPR WEIGHTED,FNR WEIGHTED,FPR MACRO,FNR MACRO,MCC,AUC-ROC,DETECTION LATENCY (S),FIT TIME,SCORE TIME
1,StandardScaler + Sin rebalanceo + PCA + Logistic Regression,logreg,StandardScaler,NONE,PCA,0.946416,0.945739,0.946416,0.943120,0.753357,0.547667,0.585960,0.026926,0.053584,0.005751,0.452333,0.924153,0.993854,0.000000,134.106165,0.020821
2,StandardScaler + Sin rebalanceo + PCA + KNN,knn,StandardScaler,NONE,PCA,0.995281,0.995317,0.995281,0.995286,0.934914,0.938325,0.936376,0.001151,0.004719,0.000419,0.061675,0.993296,0.999123,0.000324,0.103261,71.175212
3,StandardScaler + Sin rebalanceo + PCA + MLP,mlp,StandardScaler,NONE,PCA,0.987585,0.987952,0.987585,0.985976,0.804331,0.674160,0.672591,0.004694,0.012415,0.001222,0.325840,0.982342,0.999437,0.000000,168.016028,0.081788
4,StandardScaler + RUS/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE,PCA,0.877250,0.943856,0.877250,0.897963,0.469280,0.790158,0.519345,0.015335,0.122750,0.009863,0.209842,0.842194,0.977053,0.000000,33.304704,0.020064
5,StandardScaler + RUS/SMOTE + PCA + KNN,knn,StandardScaler,RUS_SMOTE,PCA,0.982506,0.988596,0.982506,0.984740,0.693951,0.960979,0.746881,0.001032,0.017494,0.001323,0.039021,0.975521,0.995122,0.000062,0.022367,13.617695
6,StandardScaler + RUS/SMOTE + PCA + MLP,mlp,StandardScaler,RUS_SMOTE,PCA,0.934629,0.962316,0.934629,0.944651,0.613133,0.832142,0.651216,0.012367,0.065371,0.005553,0.167858,0.912146,0.992745,0.000001,119.819879,0.160723
7,StandardScaler + RUS/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE_ENN,PCA,0.879967,0.944572,0.879967,0.900215,0.479394,0.796754,0.529761,0.015199,0.120033,0.009659,0.203246,0.845332,0.977672,0.000000,29.951561,0.020552
8,StandardScaler + RUS/SMOTE/ENN + PCA + KNN,knn,StandardScaler,RUS_SMOTE_ENN,PCA,0.983202,0.987990,0.983202,0.984903,0.698304,0.961704,0.753053,0.001356,0.016798,0.001297,0.038296,0.976414,0.994275,0.000031,0.033869,6.855665
9,StandardScaler + RUS/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,RUS_SMOTE_ENN,PCA,0.941019,0.963247,0.941019,0.949107,0.632917,0.834521,0.668968,0.012387,0.058981,0.005098,0.165479,0.920104,0.992187,0.000001,95.545254,0.170124
10,StandardScaler + NearMiss/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE,PCA,0.362325,0.859153,0.362325,0.419619,0.299926,0.680543,0.246057,0.022676,0.637675,0.047168,0.319457,0.344118,0.611235,0.000000,23.601012,0.020438
