fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,fit_time,score_time
1,0.8317654199226159,0.85322323610974,0.8317654199226159,0.8304742155109582,0.841580324319347,0.8234029425361598,0.8201464727684885,0.8208859945796672,30.35961604118347,26.31557035446167
2,0.8314998861998331,0.85271973314242,0.8314998861998331,0.830407327363893,0.8405621038424008,0.8228923296484084,0.8197278431948316,0.8205617642145827,31.407678842544556,26.91967797279358
3,0.8310067521432365,0.8501288678820577,0.8310067521432365,0.8298491894665707,0.837701825820856,0.8218642183730056,0.8187796102510018,0.8198119635891242,31.35838556289673,27.818355560302734
4,0.8289583491389121,0.8504342581504826,0.8289583491389121,0.827910676308842,0.8385381232556478,0.8205482214057337,0.8173781335604094,0.8178443015732765,31.809855222702026,26.505884170532227
5,0.8260374781883013,0.8457656152112477,0.8260374781883013,0.8244448733765076,0.8340125932654111,0.8177096825953776,0.8139789804505544,0.8146530009152029,31.500989198684692,25.40530514717102
