numero_experimento,descripcion_experimento,scaler,rebalanceo,n,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,B_fit_time,B_score_time,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted
1,RobustScaler + NearMiss/SMOTE/ENN,RobustScaler,NearMiss_SMOTE_ENN,10000,1,1072919,147229,268230,60.89833354949951,0.14753198623657227,0.5095626887372777,0.9112852434394921,0.5095626887372777,0.5820316675714389,0.4985101409731258,0.7761899875590469,0.4346750023758293,0.5017880816280231,0.813682627680216,5.500204534786275e-07,0.03326290054926418,0.22381001244095303,0.008506196976240497,0.4904373112627223
1,RobustScaler + NearMiss/SMOTE/ENN,RobustScaler,NearMiss_SMOTE_ENN,10000,2,1072919,147101,268230,26.22116184234619,0.16374731063842773,0.47642321887932,0.8882978224328418,0.47642321887932,0.5479637961826377,0.45481867575688556,0.7387899944135975,0.37541683966262485,0.46176477926992876,0.7866527982090836,6.104735139187553e-07,0.03567343387316733,0.2612100055864025,0.011524726976829809,0.5235767811206801
1,RobustScaler + NearMiss/SMOTE/ENN,RobustScaler,NearMiss_SMOTE_ENN,10000,3,1072919,147322,268230,63.51159048080444,0.2111358642578125,0.4866383327741118,0.9138850796556028,0.4866383327741118,0.5545969620681769,0.4622243069875243,0.7663173190937255,0.3799688041038849,0.48047836338022576,0.8090407237496811,7.871448542587052e-07,0.034806228204018096,0.23368268090627436,0.008731755834383226,0.5133616672258883
1,RobustScaler + NearMiss/SMOTE/ENN,RobustScaler,NearMiss_SMOTE_ENN,10000,4,1072919,147198,268230,29.356658935546875,0.16297054290771484,0.48267904410394064,0.8995874362141704,0.48267904410394064,0.5482004798509956,0.4773811928335473,0.7831846360178093,0.4009591731790008,0.47637937498655836,0.7933712767527287,6.075776121526855e-07,0.0350778293422597,0.2168153639821906,0.008846484237836202,0.5173209558960593
1,RobustScaler + NearMiss/SMOTE/ENN,RobustScaler,NearMiss_SMOTE_ENN,10000,5,1072920,147424,268229,59.35126090049744,0.16287636756896973,0.48866080848826937,0.915308880842576,0.48866080848826937,0.5566411813601465,0.4774106271721494,0.7830891401648291,0.399345847841734,0.48367424170516904,0.8115408741821588,6.07228776787632e-07,0.03463949161194092,0.216910859835171,0.008253182667383178,0.5113391915117307
