numero_experimento,descripcion_experimento,scaler,rebalanceo,n,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,B_fit_time,B_score_time,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted
1,RobustScaler + NONE,RobustScaler,NONE,10000,1,703136,703136,175784,250.10541200637817,0.05302119255065918,0.6620795976880717,0.613745355429801,0.6620795976880717,0.6138600345669393,0.17903854630445434,0.17438763898392592,0.1604560312459933,0.5090055097175017,0.7608831268110434,3.016269543909524e-07,0.037125610023723825,0.825612361016074,0.18183813802020526,0.33792040231192827
1,RobustScaler + NONE,RobustScaler,NONE,10000,2,703136,703136,175784,237.63784432411194,0.054515838623046875,0.6785771173713193,0.6175333371478203,0.6785771173713193,0.6302362725657912,0.17384044258705014,0.1771711333770811,0.16353033557649702,0.5309409963212722,0.7578595146859342,3.1012969680429886e-07,0.03543003969723473,0.8228288666229189,0.17459767313260552,0.32142288262868063
1,RobustScaler + NONE,RobustScaler,NONE,10000,3,703136,703136,175784,235.8567352294922,0.05754804611206055,0.6788046693669504,0.6226696350025352,0.6788046693669504,0.6303476714633532,0.1778093759183667,0.17725411983636966,0.16349681881844677,0.5315294969464698,0.7578405310943199,3.2737931843660713e-07,0.035374575185376574,0.8227458801636304,0.17404872196222235,0.32119533063304967
1,RobustScaler + NONE,RobustScaler,NONE,10000,4,703136,703136,175784,232.9368495941162,0.0726320743560791,0.6642072088472216,0.6294495146046294,0.6642072088472216,0.6158469657812445,0.19076426194808202,0.1747954128871523,0.16082951039024854,0.5121454183833937,0.7631388254921666,4.1318933666362753e-07,0.03688698733168456,0.8252045871128476,0.18062503149080544,0.33579279115277844
1,RobustScaler + NONE,RobustScaler,NONE,10000,5,703136,703136,175784,232.16874647140503,0.06473302841186523,0.6720349974969281,0.6257762724612204,0.6720349974969281,0.6235939120190832,0.18374017473767237,0.17614371046566182,0.16228084533835418,0.5226918661166834,0.7586588637964463,3.6825324495895665e-07,0.0360681909902527,0.8238562895343381,0.17698967136046578,0.327965002503072
