fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,fit_time,score_time
1,0.8170714285714286,0.8572926544261501,0.8170714285714286,0.796494148296915,0.85729265442615,0.8170714285714286,0.796494148296915,0.8084069616754629,68.86681175231934,46.63476252555847
2,0.8116428571428571,0.8500244289165932,0.8116428571428571,0.7915171459567557,0.8500244289165934,0.8116428571428571,0.7915171459567558,0.802495663501905,75.71088337898254,47.68930411338806
3,0.8153571428571429,0.855402365800777,0.8153571428571429,0.7952908777713779,0.8554023658007769,0.8153571428571429,0.7952908777713779,0.8064777095577367,80.97357678413391,42.380101919174194
4,0.8153571428571429,0.8585423023714629,0.8153571428571429,0.7947946659163966,0.8585423023714629,0.8153571428571428,0.7947946659163966,0.8066270249153883,66.46263098716736,47.844759941101074
5,0.8143214285714285,0.8577440624449478,0.8143214285714285,0.794775634802003,0.8577440624449476,0.8143214285714285,0.7947756348020031,0.8052741620427032,75.9361572265625,45.357008934020996
