fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,roc_auc,fit_time,score_time
1,0.9669285714285715,0.9669895096544524,0.9669285714285715,0.9669098392284352,0.9669895096544524,0.9669285714285714,0.9669098392284352,0.9643919834734929,0.9947190947802198,0.13882923126220703,0.1723921298980713
2,0.9677857142857142,0.9677086650395925,0.9677857142857142,0.9677233983587513,0.9677086650395925,0.9677857142857142,0.9677233983587514,0.9653113095799264,0.9947410885989014,0.1451258659362793,0.17694354057312012
3,0.968,0.9679036725942805,0.968,0.9679186843159062,0.9679036725942805,0.968,0.9679186843159062,0.965543482908148,0.9948212451923075,0.14921784400939941,0.1783769130706787
4,0.969,0.9689881573653364,0.969,0.9689606842437205,0.9689881573653365,0.969,0.9689606842437205,0.9666204288469652,0.9949810652472527,0.15255260467529297,0.17318105697631836
5,0.9688214285714286,0.9687725720488117,0.9688214285714286,0.9687742959363367,0.9687725720488117,0.9688214285714285,0.9687742959363367,0.9664265244700009,0.994964298076923,0.12954187393188477,0.18320131301879883
