loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.008181374324991074,0.0012703667161986232,4.5000049587432565e-05,1.0,100832,,,,,,,,,,
,,,1.0,100832,0.002433470217511058,0.9983809703268803,971.9722,414.958,25.935,,,,,
0.0023524913285430066,7.727333286311477e-05,4.0000049587432566e-05,2.0,201664,,,,,,,,,,
,,,2.0,201664,0.0021337904036045074,0.9984156815296731,977.6311,412.556,25.785,,,,,
0.0019489625490721882,2.9896040359744802e-05,3.5000049587432566e-05,3.0,302496,,,,,,,,,,
,,,3.0,302496,0.0019163620891049504,0.9985644438273564,983.4618,410.111,25.632,,,,,
0.0017098483113174173,0.0696873813867569,3.000004958743256e-05,4.0,403328,,,,,,,,,,
,,,4.0,403328,0.0017054646741598845,0.9987429585845763,974.3449,413.948,25.872,,,,,
0.0015929095596027769,8.202497701859102e-05,2.500004958743256e-05,5.0,504160,,,,,,,,,,
,,,5.0,504160,0.0016438171733170748,0.9987206442399238,975.9719,413.258,25.829,,,,,
0.0014658794445448246,1.6300356946885586e-05,2.000004958743256e-05,6.0,604992,,,,,,,,,,
,,,6.0,604992,0.0016547238919883966,0.9987826285306252,976.3642,413.092,25.818,,,,,
0.0014057512020013022,1.3461389016811154e-06,1.5000049587432563e-05,7.0,705824,,,,,,,,,,
,,,7.0,705824,0.0015855637611821294,0.9986933711520153,976.4693,413.047,25.815,,,,,
0.0013296489903223928,2.8723601644742303e-05,1.0000049587432561e-05,8.0,806656,,,,,,,,,,
,,,8.0,806656,0.0017283766064792871,0.9986809742938749,972.1895,414.866,25.929,,,,,
0.0012667191970616967,2.8878696767264955e-08,5.000049587432561e-06,9.0,907488,,,,,,,,,,
,,,9.0,907488,0.0016694151563569903,0.9987925460171374,977.3235,412.686,25.793,,,,,
0.0012194692653461094,1.9902721760445274e-05,4.9587432561091716e-11,10.0,1008320,,,,,,,,,,
,,,10.0,1008320,0.001633578329347074,0.9987950253887655,976.8437,412.889,25.806,,,,,
,,,10.0,1008320,,,,,,60485.791,266.726,16.67,8.783415089340088e+17,0.0022473054172802787
