fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,fit_time,score_time
1,0.4946799509243982,0.8541599530627493,0.4946799509243982,0.5935276534611476,0.20762792735297617,0.34646806791794477,0.18284096031285585,0.3232938579893966,56.71552562713623,0.6008648872375488
2,0.49776568515463043,0.9096056751617132,0.49776568515463043,0.616717615997448,0.25538718525581333,0.3673558649036917,0.2067829704475031,0.34299409376662016,50.893685817718506,0.5931973457336426
3,0.544604327960401,0.867998818254703,0.544604327960401,0.652890443011361,0.2184633757999806,0.38889245623968277,0.21557499325666202,0.38454073377891923,57.64769530296326,1.0212805271148682
4,0.5021391251004781,0.9089950993109649,0.5021391251004781,0.614862848252594,0.23134972115497623,0.3702711155396777,0.19028757740961214,0.33885173519575035,60.39599919319153,0.6043460369110107
5,0.5322125592623833,0.9002261322378322,0.5322125592623833,0.6474509501210152,0.2400846234551321,0.34534471829481606,0.2069485633136381,0.36595483933979744,49.04685664176941,0.5872926712036133
