NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,μ ACCURACY,σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED,σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ FPR WEIGHTED,σ FPR WEIGHTED,μ FNR WEIGHTED,σ FNR WEIGHTED,μ FPR MACRO,σ FPR MACRO,μ FNR MACRO,σ FNR MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ DETECTION LATENCY (S),σ DETECTION LATENCY (S),μ FIT TIME,σ² FIT TIME,μ SCORE TIME,σ² SCORE TIME
1,StandardScaler + Sin rebalanceo + PCA + Logistic Regression,logreg,StandardScaler,NONE,PCA,0.973436,0.000214,0.974907,0.000261,0.973436,0.000214,0.972855,0.000216,0.624139,0.044245,0.507304,0.031815,0.522715,0.030129,0.055451,0.000996,0.026564,0.000214,0.005468,0.000077,0.492696,0.031815,0.912882,0.000724,0.996350,0.000127,0.000000,0.000000,231.775378,1665.083959,0.038930,0.000009
2,StandardScaler + Sin rebalanceo + PCA + KNN,knn,StandardScaler,NONE,PCA,0.994769,0.000054,0.994784,0.000065,0.994769,0.000054,0.994764,0.000061,0.881581,0.035758,0.811875,0.017249,0.829280,0.023543,0.010078,0.000494,0.005231,0.000054,0.001021,0.000035,0.188125,0.017249,0.982642,0.000185,0.998049,0.000085,0.000550,0.000125,0.373241,0.007795,221.793051,2538.020788
3,StandardScaler + Sin rebalanceo + PCA + MLP,mlp,StandardScaler,NONE,PCA,0.986579,0.000738,0.986415,0.000713,0.986579,0.000738,0.986101,0.000689,0.865936,0.051372,0.677016,0.025316,0.702209,0.023853,0.038027,0.002790,0.013421,0.000738,0.003430,0.000190,0.322984,0.025316,0.955146,0.002406,0.999078,0.000081,0.000000,0.000000,1341.009652,707817.849459,0.181518,0.000235
4,StandardScaler + RUS/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE,PCA,0.779518,0.005592,0.955833,0.000503,0.779518,0.005592,0.846028,0.003588,0.312566,0.009687,0.883024,0.017781,0.375748,0.012410,0.003989,0.000356,0.220482,0.005592,0.014965,0.000374,0.116976,0.017781,0.608453,0.005558,0.979867,0.001065,0.000000,0.000000,49.328979,375.556248,0.048820,0.000150
5,StandardScaler + RUS/SMOTE + PCA + KNN,knn,StandardScaler,RUS_SMOTE,PCA,0.957934,0.001007,0.980974,0.000332,0.957934,0.001007,0.967175,0.000741,0.496550,0.011483,0.905527,0.021537,0.573154,0.010542,0.001871,0.000092,0.042066,0.001007,0.002929,0.000072,0.094473,0.021537,0.880792,0.002439,0.988018,0.000296,0.000055,0.000006,0.016899,0.000004,22.337461,5.536407
6,StandardScaler + RUS/SMOTE + PCA + MLP,mlp,StandardScaler,RUS_SMOTE,PCA,0.933699,0.008467,0.967090,0.003443,0.933699,0.008467,0.946411,0.006537,0.449281,0.044235,0.891389,0.024524,0.526657,0.041760,0.002809,0.000717,0.066301,0.008467,0.004607,0.000560,0.108611,0.024524,0.826723,0.017273,0.996124,0.000537,0.000000,0.000000,32.790386,255.856151,0.165945,0.000014
7,StandardScaler + RUS/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE_ENN,PCA,0.786449,0.003807,0.956912,0.000924,0.786449,0.003807,0.851391,0.002766,0.314481,0.007368,0.879699,0.018150,0.378208,0.009920,0.004147,0.000181,0.213551,0.003807,0.014513,0.000255,0.120301,0.018150,0.615281,0.003819,0.980860,0.001042,0.000000,0.000000,36.034691,4.100378,0.039883,0.000032
8,StandardScaler + RUS/SMOTE/ENN + PCA + KNN,knn,StandardScaler,RUS_SMOTE_ENN,PCA,0.959464,0.001205,0.981446,0.000453,0.959464,0.001205,0.968406,0.000918,0.503777,0.011047,0.902736,0.022663,0.577954,0.010982,0.005123,0.000209,0.040536,0.001205,0.003044,0.000087,0.097264,0.022663,0.883583,0.002966,0.987562,0.000379,0.000051,0.000005,0.015610,0.000009,20.500519,3.458100
9,StandardScaler + RUS/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,RUS_SMOTE_ENN,PCA,0.939134,0.005704,0.970510,0.003223,0.939134,0.005704,0.951414,0.004891,0.471119,0.038939,0.901766,0.011228,0.545595,0.034777,0.003319,0.000770,0.060866,0.005704,0.004279,0.000382,0.098234,0.011228,0.837864,0.012130,0.995986,0.000347,0.000000,0.000000,25.640709,102.128690,0.176749,0.000390
10,StandardScaler + NearMiss/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE,PCA,0.122681,0.012163,0.890239,0.109024,0.122681,0.012163,0.161048,0.017144,0.229929,0.013824,0.722703,0.029023,0.162268,0.011341,0.020908,0.035703,0.877319,0.012163,0.059882,0.002757,0.277297,0.029023,0.155519,0.028901,0.375997,0.005963,0.000000,0.000000,25.932870,11.932722,0.042629,0.000002
11,StandardScaler + NearMiss/SMOTE + PCA + KNN,knn,StandardScaler,NearMiss_SMOTE,PCA,0.155927,0.003745,0.803525,0.010082,0.155927,0.003745,0.208311,0.006643,0.279650,0.005249,0.736393,0.021386,0.209207,0.006512,0.080746,0.004720,0.844073,0.003745,0.061655,0.000207,0.263607,0.021386,0.145482,0.007236,0.537559,0.002519,0.000053,0.000009,0.016028,0.000008,21.550951,13.876494
12,StandardScaler + NearMiss/SMOTE + PCA + MLP,mlp,StandardScaler,NearMiss_SMOTE,PCA,0.157027,0.008436,0.909972,0.032819,0.157027,0.008436,0.206121,0.013013,0.248517,0.016982,0.743492,0.030257,0.188428,0.020987,0.021975,0.015001,0.842973,0.008436,0.057663,0.001298,0.256508,0.030257,0.182130,0.015993,0.549650,0.051099,0.000000,0.000000,13.234758,16.999464,0.176669,0.000094
