NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,ACCURACY,PRECISION WEIGHTED,RECALL WEIGHTED,F1 WEIGHTED,PRECISION MACRO,RECALL MACRO,F1 MACRO,FPR WEIGHTED,FNR WEIGHTED,FPR MACRO,FNR MACRO,MCC,AUC-ROC,DETECTION LATENCY (S),FIT TIME,SCORE TIME
1,StandardScaler + Sin rebalanceo + PCA + Logistic Regression,logreg,StandardScaler,NONE,PCA,0.973625,0.975130,0.973625,0.973053,0.636128,0.508654,0.531437,0.054988,0.026375,0.005424,0.491346,0.913490,0.996402,0.000000,260.806689,0.047221
2,StandardScaler + Sin rebalanceo + PCA + KNN,knn,StandardScaler,NONE,PCA,0.995119,0.995147,0.995119,0.995123,0.889641,0.826918,0.842071,0.008979,0.004881,0.000924,0.173082,0.983807,0.998161,0.000702,0.744803,353.987816
3,StandardScaler + Sin rebalanceo + PCA + MLP,mlp,StandardScaler,NONE,PCA,0.986951,0.987359,0.986951,0.986678,0.864331,0.669882,0.696564,0.030846,0.013049,0.002926,0.330118,0.956667,0.999028,0.000000,478.271944,0.201526
4,StandardScaler + RUS/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE,PCA,0.782753,0.955669,0.782753,0.848158,0.308551,0.898186,0.369469,0.004244,0.217247,0.014766,0.101814,0.611393,0.979727,0.000000,58.809716,0.044202
5,StandardScaler + RUS/SMOTE + PCA + KNN,knn,StandardScaler,RUS_SMOTE,PCA,0.957644,0.981322,0.957644,0.967157,0.497288,0.906148,0.577065,0.001874,0.042356,0.002949,0.093852,0.880082,0.987703,0.000058,0.015225,28.991997
6,StandardScaler + RUS/SMOTE + PCA + MLP,mlp,StandardScaler,RUS_SMOTE,PCA,0.944123,0.971242,0.944123,0.954702,0.510878,0.862477,0.576489,0.002169,0.055877,0.003870,0.137523,0.848889,0.996438,0.000000,49.968699,0.200256
7,StandardScaler + RUS/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE_ENN,PCA,0.786760,0.956563,0.786760,0.851516,0.311726,0.894443,0.373597,0.004644,0.213240,0.014526,0.105557,0.615163,0.980537,0.000000,39.153393,0.043280
8,StandardScaler + RUS/SMOTE/ENN + PCA + KNN,knn,StandardScaler,RUS_SMOTE_ENN,PCA,0.958460,0.981302,0.958460,0.967705,0.502044,0.904270,0.580070,0.004942,0.041540,0.003099,0.095730,0.881144,0.987096,0.000054,0.016854,27.370863
9,StandardScaler + RUS/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,RUS_SMOTE_ENN,PCA,0.940352,0.968919,0.940352,0.951295,0.512069,0.854163,0.561010,0.003014,0.059648,0.004177,0.145837,0.840358,0.996754,0.000000,75.371573,0.245960
10,StandardScaler + NearMiss/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE,PCA,0.119627,0.941069,0.119627,0.157141,0.232644,0.756586,0.160414,0.004099,0.880373,0.058965,0.243414,0.165778,0.359361,0.000000,29.930203,0.049023
