N,métrica,tipo_tiempo,tiempo,valor_métrica,delta_métrica,delta_tiempo,VD,VD_normalizado
500.0,σ F1 MACRO,fit_time,0.010024875,0.014940375,,,,
1000.0,σ F1 MACRO,fit_time,0.014630875,0.010708,-0.004232375,0.004605999999999999,-0.9188829787234044,0.0
2000.0,σ F1 MACRO,fit_time,0.02510225,0.018143375,0.007435374999999999,0.010471375,0.7100667295364744,1.0
5000.0,σ F1 MACRO,fit_time,0.06627775,0.01506125,-0.003082125,0.0411755,-0.07485337154375782,0.5181434410773056
10000.0,σ F1 MACRO,fit_time,0.13351849999999998,0.010321875,-0.0047393750000000005,0.06724074999999999,-0.07048367247539626,0.5208259665390828
20000.0,σ F1 MACRO,fit_time,0.26090025,0.008397874999999999,-0.0019240000000000004,0.12738175000000002,-0.015104204487691527,0.5548230062923012
30000.0,σ F1 MACRO,fit_time,0.383069875,0.007204375,-0.0011934999999999992,0.122169625,-0.009769204088168391,0.5580981229963167
40000.0,σ F1 MACRO,fit_time,0.514128625,0.00906675,0.0018623750000000003,0.13105875,0.014210230144877777,0.5728189176970089
500.0,σ F1 MACRO,score_time,0.536156625,0.014940375,,,,
1000.0,σ F1 MACRO,score_time,0.740258,0.010708,-0.004232375,0.20410137499999992,-0.020736631490111235,0.0
2000.0,σ F1 MACRO,score_time,1.054168875,0.018143375,0.007435374999999999,0.31391087500000003,0.023686261267628905,1.0
5000.0,σ F1 MACRO,score_time,2.016606625,0.01506125,-0.003082125,0.9624377500000001,-0.0032024149094318044,0.3947112736737368
10000.0,σ F1 MACRO,score_time,3.659459375,0.010321875,-0.0047393750000000005,1.6428527499999999,-0.0028848446703455322,0.4018600705973892
20000.0,σ F1 MACRO,score_time,6.7696225,0.008397874999999999,-0.0019240000000000004,3.1101631249999997,-0.0006186170701255422,0.45287492936804247
30000.0,σ F1 MACRO,score_time,9.95603975,0.007204375,-0.0011934999999999992,3.1864172500000008,-0.0003745586049661258,0.45836890893597354
40000.0,σ F1 MACRO,score_time,13.18404425,0.00906675,0.0018623750000000003,3.228004499999999,0.0005769431238401312,0.4797880842696301
500.0,σ F1 MACRO,total_time,0.5461815,0.014940375,,,,
1000.0,σ F1 MACRO,total_time,0.754888875,0.010708,-0.004232375,0.20870737500000003,-0.02027899109938017,0.0
2000.0,σ F1 MACRO,total_time,1.079271125,0.018143375,0.007435374999999999,0.32438225,0.022921645681907687,1.0
