DESCRIPCIÓN EXPERIMENTO,N,métrica,tipo_tiempo,tiempo,valor_métrica,delta_métrica,delta_tiempo,VD,VD_normalizado
StandardScaler + RUS/SMOTE,500,σ F1 MACRO,fit_time,0.001584,0.013375,,,,
StandardScaler + RUS/SMOTE,1000,σ F1 MACRO,fit_time,0.002281,0.009831,-0.0035440000000000003,0.0006970000000000001,-5.084648493543758,0.0
StandardScaler + RUS/SMOTE,2000,σ F1 MACRO,fit_time,0.00348,0.010341,0.00051,0.001199,0.4253544620517098,0.9843600396737746
StandardScaler + RUS/SMOTE,5000,σ F1 MACRO,fit_time,0.007356,0.012329,0.001988,0.0038759999999999997,0.5128998968008257,1.0
StandardScaler + RUS/SMOTE,10000,σ F1 MACRO,fit_time,0.012879,0.012,-0.00032899999999999943,0.005523,-0.05956907477820015,0.8977286248089434
StandardScaler + RUS/SMOTE,20000,σ F1 MACRO,fit_time,0.028388,0.008475,-0.0035250000000000004,0.015509,-0.22728738152040753,0.8677658098323885
StandardScaler + RUS/SMOTE,30000,σ F1 MACRO,fit_time,0.041255,0.00914,0.0006650000000000007,0.012867,0.0516825988964017,0.9176036961645575
StandardScaler + RUS/SMOTE,40000,σ F1 MACRO,fit_time,0.051114,0.01043,0.0012899999999999995,0.009859,0.1308449132772086,0.931746015062123
StandardScaler + RUS/SMOTE,500,σ F1 MACRO,score_time,0.781091,0.013375,,,,
StandardScaler + RUS/SMOTE,1000,σ F1 MACRO,score_time,1.351549,0.009831,-0.0035440000000000003,0.5704579999999999,-0.006212552019605301,0.0
StandardScaler + RUS/SMOTE,2000,σ F1 MACRO,score_time,2.461806,0.010341,0.00051,1.1102570000000003,0.0004593531047316071,0.9899378843188915
StandardScaler + RUS/SMOTE,5000,σ F1 MACRO,score_time,6.232893,0.012329,0.001988,3.7710869999999996,0.0005271689568551456,1.0
StandardScaler + RUS/SMOTE,10000,σ F1 MACRO,score_time,12.283841,0.012,-0.00032899999999999943,6.050948000000001,-5.4371645566942465e-05,0.9137144394473878
StandardScaler + RUS/SMOTE,20000,σ F1 MACRO,score_time,23.964566,0.008475,-0.0035250000000000004,11.680725,-0.000301779213190962,0.8770055655209851
StandardScaler + RUS/SMOTE,30000,σ F1 MACRO,score_time,36.645679,0.00914,0.0006650000000000007,12.681113,5.244019196106845e-05,0.9295625491690023
StandardScaler + RUS/SMOTE,40000,σ F1 MACRO,score_time,49.310738,0.01043,0.0012899999999999995,12.665059,0.00010185503281113808,0.9368944314565122
StandardScaler + RUS/SMOTE,500,σ F1 MACRO,total_time,0.782675,0.013375,,,,
StandardScaler + RUS/SMOTE,1000,σ F1 MACRO,total_time,1.3538299999999999,0.009831,-0.0035440000000000003,0.5711549999999999,-0.006204970629688966,0.0
StandardScaler + RUS/SMOTE,2000,σ F1 MACRO,total_time,2.4652860000000003,0.010341,0.00051,1.1114560000000004,0.0004588575706100825,0.9899325383816348
StandardScaler + RUS/SMOTE,5000,σ F1 MACRO,total_time,6.2402489999999995,0.012329,0.001988,3.774962999999999,0.0005266276782050581,1.0
StandardScaler + RUS/SMOTE,10000,σ F1 MACRO,total_time,12.29672,0.012,-0.00032899999999999943,6.056471000000001,-5.432206312884176e-05,0.9136980974261892
StandardScaler + RUS/SMOTE,20000,σ F1 MACRO,total_time,23.992954,0.008475,-0.0035250000000000004,11.696234,-0.00030137905927668686,0.8769970073064585
StandardScaler + RUS/SMOTE,30000,σ F1 MACRO,total_time,36.686934,0.00914,0.0006650000000000007,12.69398,5.238703700494255e-05,0.9295500682736845
StandardScaler + RUS/SMOTE,40000,σ F1 MACRO,total_time,49.361852,0.01043,0.0012899999999999995,12.674917999999998,0.00010177580636024626,0.936886924558972
StandardScaler + RUS/SMOTE,500,μ F1 MACRO,fit_time,0.001584,0.699738,,,,
StandardScaler + RUS/SMOTE,1000,μ F1 MACRO,fit_time,0.002281,0.728164,0.028426000000000062,0.0006970000000000001,40.78335724533724,1.0
StandardScaler + RUS/SMOTE,2000,μ F1 MACRO,fit_time,0.00348,0.760138,0.03197399999999995,0.001199,26.667222685571264,0.6468764657582481
StandardScaler + RUS/SMOTE,5000,μ F1 MACRO,fit_time,0.007356,0.7886,0.028461999999999987,0.0038759999999999997,7.343137254901958,0.16347293100329044
StandardScaler + RUS/SMOTE,10000,μ F1 MACRO,fit_time,0.012879,0.812787,0.02418700000000007,0.005523,4.379322831794327,0.08933134362373543
StandardScaler + RUS/SMOTE,20000,μ F1 MACRO,fit_time,0.028388,0.838118,0.025330999999999992,0.015509,1.6333096911470755,0.020638185366130525
