,NUEVA CLASE,ORIGINAL (CIC18),LIMPIADO,80% (train),,,,,,,,,,,,,,,,,,,,
NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,N,μ ACCURACY, σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED, σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ FIT TIME,σ FIT TIME,μ SCORE TIME,σ SCORE TIME
1,StandardScaler + RUS/SMOTE,500,0.944011,0.003126,0.965686,0.001303,0.944011,0.003126,0.951038,0.002369,0.668290,0.016426,0.934216,0.008048,0.699738,0.013375,0.933998,0.003437,0.985970,0.000580,0.001584,0.000000,0.781091,0.001375
,,1000,0.960612,0.001464,0.973271,0.001286,0.960612,0.001464,0.964911,0.001442,0.693959,0.011820,0.938170,0.009426,0.728164,0.009831,0.953027,0.001726,0.989457,0.000473,0.002281,0.000000,1.351549,0.030153
,,2000,0.968458,0.001423,0.977247,0.000516,0.968458,0.001423,0.971386,0.001069,0.720437,0.012530,0.941035,0.006922,0.760138,0.010341,0.962213,0.001661,0.991072,0.000338,0.003480,0.000000,2.461806,0.110196
,,5000,0.975706,0.000433,0.980890,0.000421,0.975706,0.000433,0.977287,0.000390,0.747859,0.014179,0.942929,0.008426,0.788600,0.012329,0.970762,0.000516,0.992566,0.000082,0.007356,0.000000,6.232893,0.023049
,,10000,0.979353,0.000216,0.982968,0.000311,0.979353,0.000216,0.980362,0.000260,0.773208,0.013795,0.942303,0.012464,0.812787,0.012000,0.975095,0.000259,0.993568,0.000174,0.012879,0.000001,12.283841,0.109558
,,20000,0.982224,0.000318,0.984708,0.000294,0.982224,0.000318,0.982826,0.000313,0.799385,0.010605,0.942595,0.012176,0.838118,0.008475,0.978524,0.000382,0.994162,0.000101,0.028388,0.000028,23.964566,2.422039
,,30000,0.983572,0.000216,0.985632,0.000200,0.983572,0.000216,0.984035,0.000216,0.811771,0.010499,0.940893,0.011430,0.850251,0.009140,0.980137,0.000259,0.994510,0.000119,0.041255,0.000054,36.645679,0.076847
,,40000,0.984330,0.000170,0.986162,0.000098,0.984330,0.000170,0.984728,0.000145,0.821244,0.012987,0.938369,0.008796,0.858220,0.010430,0.981043,0.000203,0.994691,0.000096,0.051114,0.000000,49.310738,3.647603
2,StandardScaler + RUS/SMOTE/ENN,500,0.941479,0.001634,0.960899,0.002082,0.941479,0.001634,0.948383,0.001278,0.662999,0.022261,0.930530,0.004103,0.692730,0.020520,0.930387,0.001677,0.984832,0.000669,0.002386,0.000001,1.096401,0.169265
,,1000,0.958357,0.001827,0.970101,0.001348,0.958357,0.001827,0.962692,0.001670,0.689016,0.009267,0.936195,0.006848,0.723491,0.007929,0.950016,0.002171,0.988770,0.000310,0.005321,0.000009,1.947903,0.332324
,,2000,0.966792,0.001872,0.974838,0.001007,0.966792,0.001872,0.969722,0.001492,0.718999,0.012065,0.937581,0.006768,0.758198,0.009961,0.959993,0.002233,0.990784,0.000395,0.008771,0.000040,3.868994,1.774303
,,5000,0.973994,0.000668,0.978729,0.000688,0.973994,0.000668,0.975609,0.000645,0.740804,0.014163,0.940854,0.009044,0.782381,0.012897,0.968549,0.000811,0.992446,0.000105,0.015075,0.000059,9.409265,1.884869
,,10000,0.977618,0.000252,0.980707,0.000386,0.977618,0.000252,0.978613,0.000308,0.763507,0.014683,0.939385,0.012173,0.805801,0.012466,0.972858,0.000309,0.993507,0.000177,0.016215,0.000009,18.153265,4.401662
,,20000,0.980534,0.000371,0.982610,0.000329,0.980534,0.000371,0.981139,0.000355,0.783908,0.012638,0.940847,0.012125,0.827500,0.010045,0.976362,0.000452,0.994101,0.000128,0.060536,0.000540,37.732745,5.205087
,,30000,0.982114,0.000289,0.983815,0.000309,0.982114,0.000289,0.982579,0.000296,0.807675,0.011328,0.940328,0.011415,0.846925,0.009349,0.978272,0.000353,0.994482,0.000129,0.051701,0.000436,39.753758,78.444417
,,40000,0.983028,0.000216,0.984517,0.000162,0.983028,0.000216,0.983419,0.000193,0.817601,0.013202,0.939879,0.010933,0.855824,0.010110,0.979377,0.000262,0.994699,0.000083,0.072077,0.001382,44.253138,19.629569
3,StandardScaler + NearMiss/SMOTE,500,0.269046,0.002628,0.753220,0.003035,0.269046,0.002628,0.300896,0.004060,0.410185,0.006264,0.567561,0.009613,0.287998,0.006607,0.248270,0.002770,0.638443,0.001962,0.002694,0.000000,1.548374,0.047705
,,1000,0.279945,0.004788,0.767476,0.003808,0.279945,0.004788,0.305152,0.006270,0.432757,0.009010,0.578677,0.006445,0.303214,0.007321,0.264677,0.003840,0.640319,0.003392,0.002912,0.000000,2.157432,0.050536
,,2000,0.309777,0.003556,0.807955,0.002043,0.309777,0.003556,0.343231,0.003730,0.483260,0.008045,0.632510,0.006598,0.334962,0.005947,0.294686,0.003248,0.655231,0.003569,0.004005,0.000001,4.135995,0.509904
