fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,mcc,roc_auc,fit_time,score_time
1,0.9799518010155506,0.9798394099683326,0.9799518010155506,0.9796700698238608,0.6970515907882483,0.6525922599560422,0.6639196858769092,0.9336625364017396,0.9978556713299926,120.18310809135437,1.6498701572418213
2,0.9788162488099016,0.9785757508130022,0.9788162488099016,0.9783412705363896,0.666523220830481,0.5876428697125073,0.5980154125309428,0.9287804298810388,0.9975106836631442,104.12128615379333,1.9084365367889404
3,0.9779782211996192,0.9779476402333438,0.9779782211996192,0.977787580626938,0.7159319022368629,0.6424322193664963,0.6538211319049039,0.9265219880671627,0.9976500847752142,83.14421129226685,1.9193589687347412
4,0.981350120373791,0.983411084523387,0.981350120373791,0.9815577935290651,0.7562914793891242,0.6754353277115263,0.6824681395595094,0.939750476796912,0.9981113332611474,151.55696320533752,1.734539270401001
5,0.979014546509408,0.9804001632635313,0.979014546509408,0.9790228118398331,0.7468186600946833,0.6600457297815876,0.6672557377096896,0.9311411401497177,0.9978374436132134,133.68914675712585,1.8402860164642334
