loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.012542635022704845,0.02553502842783928,4.5000049587432565e-05,1.0,100832,,,,,,,,,,
,,,1.0,100832,0.005905065219849348,0.9959090368137099,957.1533,421.383,26.336,,,,,
0.0055904908998925815,0.00025237214867956936,4.0000049587432566e-05,2.0,201664,,,,,,,,,,
,,,2.0,201664,0.005171689670532942,0.9962040820374485,958.775,420.67,26.292,,,,,
0.004834580065824992,0.000622602819930762,3.5000049587432566e-05,3.0,302496,,,,,,,,,,
,,,3.0,302496,0.004170354921370745,0.9966826007616629,964.8766,418.01,26.126,,,,,
0.004316418937409503,0.014821493066847324,3.000004958743256e-05,4.0,403328,,,,,,,,,,
,,,4.0,403328,0.0038526940625160933,0.9970396302761029,964.1263,418.335,26.146,,,,,
0.004055330996209196,2.6973115382133983e-05,2.500004958743256e-05,5.0,504160,,,,,,,,,,
,,,5.0,504160,0.0037060093600302935,0.9968586361472549,965.2468,417.85,26.116,,,,,
0.0038940880042112125,0.6120092868804932,2.000004958743256e-05,6.0,604992,,,,,,,,,,
,,,6.0,604992,0.003653313033282757,0.9970297127895906,968.9387,416.258,26.016,,,,,
0.003728470095601471,0.007167609874159098,1.5000049587432563e-05,7.0,705824,,,,,,,,,,
,,,7.0,705824,0.003669074969366193,0.9971189701682006,957.729,421.13,26.321,,,,,
0.003633998833320058,0.014668735675513744,1.0000049587432561e-05,8.0,806656,,,,,,,,,,
,,,8.0,806656,0.0036786841228604317,0.9970520271342431,963.5111,418.602,26.163,,,,,
0.003518210180749291,0.10803405195474625,5.000049587432561e-06,9.0,907488,,,,,,,,,,
,,,9.0,907488,0.003653566585853696,0.9970743414788956,965.9916,417.527,26.095,,,,,
0.0033727129540039374,2.7253543066763086e-07,4.9587432561091716e-11,10.0,1008320,,,,,,,,,,
,,,10.0,1008320,0.0036183816846460104,0.997185913202158,964.492,418.177,26.136,,,,,
,,,10.0,1008320,,,,,,61015.0307,264.412,16.526,8.78536584511488e+17,0.004948693598992708
