NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,MODELO,ESCALADOR,REBALANCEO,PCA,μ ACCURACY,σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED,σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ FPR WEIGHTED,σ FPR WEIGHTED,μ FNR WEIGHTED,σ FNR WEIGHTED,μ FPR MACRO,σ FPR MACRO,μ FNR MACRO,σ FNR MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ DETECTION LATENCY (S),σ DETECTION LATENCY (S),μ FIT TIME,σ² FIT TIME,μ SCORE TIME,σ² SCORE TIME
1,StandardScaler + Sin rebalanceo + PCA + Logistic Regression,logreg,StandardScaler,NONE,PCA,0.972468,0.000095,0.972990,0.000137,0.972468,0.000095,0.972381,0.000111,0.761984,0.027058,0.697076,0.013963,0.710340,0.017219,0.005207,0.000046,0.027532,0.000095,0.002183,0.000009,0.302924,0.013963,0.966472,0.000118,0.997671,0.000020,0.000000,0.000000,550.334806,113722.745002,0.027670,0.000001
2,StandardScaler + Sin rebalanceo + PCA + KNN,knn,StandardScaler,NONE,PCA,0.987333,0.000231,0.987801,0.000231,0.987333,0.000231,0.987440,0.000229,0.939774,0.013955,0.931368,0.007793,0.931487,0.010947,0.001988,0.000072,0.012667,0.000231,0.000977,0.000020,0.068632,0.007793,0.984547,0.000284,0.996861,0.000034,0.000342,0.000044,0.228143,0.007110,91.839543,142.339036
3,StandardScaler + Sin rebalanceo + PCA + MLP,mlp,StandardScaler,NONE,PCA,0.988373,0.000227,0.989158,0.000262,0.988373,0.000227,0.988493,0.000224,0.904049,0.027308,0.869994,0.028764,0.875208,0.024851,0.001349,0.000077,0.011627,0.000227,0.000865,0.000020,0.130006,0.028764,0.985877,0.000281,0.999230,0.000018,0.000000,0.000000,966.712241,68203.828307,0.121887,0.000153
4,StandardScaler + RUS/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE,PCA,0.919892,0.002339,0.963840,0.001297,0.919892,0.002339,0.936005,0.002181,0.625993,0.002213,0.918405,0.004596,0.637176,0.001724,0.004647,0.000157,0.080108,0.002339,0.005650,0.000165,0.081595,0.004596,0.906801,0.002561,0.993493,0.000195,0.000000,0.000000,36.900953,51.187694,0.027388,0.000000
5,StandardScaler + RUS/SMOTE + PCA + KNN,knn,StandardScaler,RUS_SMOTE,PCA,0.979353,0.000216,0.982968,0.000311,0.979353,0.000216,0.980362,0.000260,0.773208,0.013795,0.942303,0.012464,0.812787,0.012000,0.001847,0.000040,0.020647,0.000216,0.001500,0.000016,0.057697,0.012464,0.975095,0.000259,0.993568,0.000174,0.000062,0.000003,0.023879,0.000155,16.607866,0.869898
6,StandardScaler + RUS/SMOTE + PCA + MLP,mlp,StandardScaler,RUS_SMOTE,PCA,0.979148,0.001946,0.982973,0.001321,0.979148,0.001946,0.980343,0.001784,0.717881,0.013531,0.950075,0.012085,0.760246,0.015678,0.002032,0.000172,0.020852,0.001946,0.001526,0.000137,0.049925,0.012085,0.974818,0.002289,0.998244,0.000151,0.000000,0.000000,70.749729,1495.045013,0.126305,0.000096
7,StandardScaler + RUS/SMOTE/ENN + PCA + Logistic Regression,logreg,StandardScaler,RUS_SMOTE_ENN,PCA,0.923158,0.001601,0.965750,0.001123,0.923158,0.001601,0.939532,0.001516,0.628099,0.002027,0.918540,0.004721,0.638824,0.001485,0.004517,0.000129,0.076842,0.001601,0.005424,0.000113,0.081460,0.004721,0.910242,0.001761,0.993507,0.000186,0.000000,0.000000,46.316325,169.186797,0.027946,0.000005
8,StandardScaler + RUS/SMOTE/ENN + PCA + KNN,knn,StandardScaler,RUS_SMOTE_ENN,PCA,0.977618,0.000252,0.980707,0.000386,0.977618,0.000252,0.978613,0.000308,0.763507,0.014683,0.939385,0.012173,0.805801,0.012466,0.002668,0.000090,0.022382,0.000252,0.001670,0.000022,0.060615,0.012173,0.972858,0.000309,0.993507,0.000177,0.000074,0.000007,0.023638,0.000091,19.916952,3.946377
9,StandardScaler + RUS/SMOTE/ENN + PCA + MLP,mlp,StandardScaler,RUS_SMOTE_ENN,PCA,0.974611,0.003363,0.980602,0.001640,0.974611,0.003363,0.976785,0.002576,0.695308,0.014596,0.947576,0.009161,0.730297,0.019393,0.002386,0.000287,0.025389,0.003363,0.001852,0.000241,0.052424,0.009161,0.969361,0.004039,0.998217,0.000081,0.000001,0.000000,16.953276,24.046458,0.136955,0.000160
10,StandardScaler + NearMiss/SMOTE + PCA + Logistic Regression,logreg,StandardScaler,NearMiss_SMOTE,PCA,0.465597,0.004560,0.864019,0.010593,0.465597,0.004560,0.527021,0.005373,0.461222,0.012545,0.740162,0.013262,0.378352,0.007426,0.011833,0.001189,0.534403,0.004560,0.036416,0.000282,0.259838,0.013262,0.453918,0.004039,0.779709,0.003257,0.000000,0.000000,34.164876,48.732426,0.028717,0.000003
