loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.012962642755632513,0.015493751503527164,4.5000049587432565e-05,1.0,100832,,,,,,,,,,
,,,1.0,100832,0.00552268186584115,0.9960652372262774,961.9734,419.271,26.204,,,,,
0.0056823311590535495,0.006646670401096344,4.0000049587432566e-05,2.0,201664,,,,,,,,,,
,,,2.0,201664,0.005477600265294313,0.9961321802602349,969.0303,416.218,26.014,,,,,
0.0049102081642647235,0.03307463228702545,3.5000049587432566e-05,3.0,302496,,,,,,,,,,
,,,3.0,302496,0.004543870221823454,0.9965189622342113,960.9965,419.698,26.231,,,,,
0.004602800585360271,0.0003335762885399163,3.000004958743256e-05,4.0,403328,,,,,,,,,,
,,,4.0,403328,0.004503567703068256,0.9966900388765472,961.9304,419.29,26.206,,,,,
0.0043300975507798555,0.061746880412101746,2.500004958743256e-05,5.0,504160,,,,,,,,,,
,,,5.0,504160,0.004210477229207754,0.9968735123770232,958.2124,420.917,26.307,,,,,
0.004029537601646488,0.9511440992355347,2.000004958743256e-05,6.0,604992,,,,,,,,,,
,,,6.0,604992,0.00413852883502841,0.9969230998095843,961.6404,419.417,26.214,,,,,
0.0038460916430183684,0.0007334889960475266,1.5000049587432563e-05,7.0,705824,,,,,,,,,,
,,,7.0,705824,0.003947192803025246,0.9969478935258648,966.7683,417.192,26.074,,,,,
0.003685453361043927,0.012267597950994968,1.0000049587432561e-05,8.0,806656,,,,,,,,,,
,,,8.0,806656,0.0039079682901501656,0.9970396302761029,967.8421,416.729,26.046,,,,,
0.0035578595460766423,0.02435087412595749,5.000049587432561e-06,9.0,907488,,,,,,,,,,
,,,9.0,907488,0.003903042757883668,0.9970842589654078,965.577,417.707,26.107,,,,,
0.0034713360741947313,0.01116891112178564,4.9587432561091716e-11,10.0,1008320,,,,,,,,,,
,,,10.0,1008320,0.0038696792908012867,0.9971313670263409,964.6328,418.116,26.132,,,,,
,,,10.0,1008320,,,,,,61477.6503,262.422,16.401,8.78536584511488e+17,0.005107835844107107
