numero_experimento,descripcion_experimento,scaler,rebalanceo,n,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,B_fit_time,B_score_time,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted
1,StandardScaler + NearMiss/SMOTE,StandardScaler,NearMiss_SMOTE,10000,1,703136,140000,175784,15.40230917930603,0.10704946517944336,0.37878874072725616,0.8592849740612565,0.37878874072725616,0.3819216177524881,0.3310180522695866,0.7780706604743476,0.2925165159472226,0.3544796680840665,0.6096833130651136,6.08982985820344e-07,0.04755118897296954,0.22192933952565239,0.044505386348829605,0.6212112592727438
1,StandardScaler + NearMiss/SMOTE,StandardScaler,NearMiss_SMOTE,10000,2,703136,140000,175784,10.662567138671875,0.11430621147155762,0.4583978063987621,0.869470933792632,0.4583978063987621,0.4895267302690906,0.3430435187468759,0.7769156032103746,0.3228550552682908,0.4215715861299988,0.7827944226899289,6.502651633343058e-07,0.04128171513319856,0.2230843967896254,0.03634181826354219,0.5416021936012378
1,StandardScaler + NearMiss/SMOTE,StandardScaler,NearMiss_SMOTE,10000,3,703136,140000,175784,10.760047674179077,0.10806417465209961,0.3956275884039503,0.8636636207725483,0.3956275884039503,0.4101679971706287,0.3349211129264261,0.6753033505954616,0.29981368686629445,0.371805095307055,0.623181034147671,6.147554649575594e-07,0.04597406602681527,0.3246966494045384,0.039264512779364096,0.6043724115960497
1,StandardScaler + NearMiss/SMOTE,StandardScaler,NearMiss_SMOTE,10000,4,703136,140000,175784,33.40840125083923,0.12070131301879883,0.40996336412870343,0.8724066637323198,0.40996336412870343,0.4228379646601023,0.36686981758947956,0.7820435318502846,0.33877844026499665,0.39197380833833656,0.6483230576610707,6.866456163177469e-07,0.04481375086045528,0.21795646814971545,0.03735587617507729,0.5900366358712966
1,StandardScaler + NearMiss/SMOTE,StandardScaler,NearMiss_SMOTE,10000,5,703136,140000,175784,19.976017951965332,0.12923407554626465,0.3982671915532699,0.8690448158780293,0.3982671915532699,0.4219466879549472,0.3486429892535873,0.7507601979920241,0.3170597805356505,0.3779990969089809,0.7758582054935592,7.351867948520039e-07,0.04540545888384489,0.24923980200797588,0.0339436159270984,0.60173280844673
