,NUEVA CLASE,ORIGINAL (BCCC17),LIMPIADO,80% (train),,,,,,,,,,,,,,,,,,,,
NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,N,μ ACCURACY, σ ACCURACY,μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED, σ F1 WEIGHTED,μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ FIT TIME,σ FIT TIME,μ SCORE TIME,σ SCORE TIME
4,StandardScaler + NearMiss/SMOTE/ENN,500,0.279537,0.095461,0.797952,0.032336,0.279537,0.095461,0.276141,0.086595,0.376618,0.047207,0.466100,0.055416,0.272970,0.041836,0.236436,0.112046,0.612602,0.045808,0.005347,0.000001,0.343039,0.000318
,,1000,0.297885,0.101188,0.800474,0.066386,0.297885,0.101188,0.301854,0.097027,0.386480,0.069325,0.555435,0.089064,0.291994,0.060487,0.261320,0.108739,0.621907,0.042547,0.008027,0.000000,0.539894,0.000190
,,2000,0.368495,0.027658,0.854905,0.007037,0.368495,0.027658,0.360006,0.044653,0.440464,0.017353,0.681339,0.050456,0.347115,0.020954,0.343193,0.023718,0.658229,0.014609,0.013262,0.000000,0.911126,0.000423
,,5000,0.361807,0.019407,0.856794,0.002814,0.361807,0.019407,0.375710,0.029377,0.330525,0.006891,0.778572,0.046960,0.292748,0.012757,0.336391,0.015669,0.668236,0.007554,0.038930,0.000002,2.085873,0.000601
,,10000,0.392338,0.027728,0.854978,0.005915,0.392338,0.027728,0.415466,0.039457,0.345729,0.007595,0.787825,0.045590,0.317603,0.009649,0.363237,0.024327,0.735550,0.057466,0.083709,0.000011,4.044663,0.001570
,,20000,0.492254,0.061721,0.894444,0.027901,0.492254,0.061721,0.548213,0.079706,0.363250,0.008832,0.808514,0.042969,0.349963,0.012068,0.457913,0.058584,0.772109,0.014547,0.169031,0.000004,8.013544,0.003631
,,30000,0.520053,0.067608,0.903051,0.026314,0.520053,0.067608,0.578197,0.082763,0.371366,0.006249,0.811238,0.040796,0.362538,0.014237,0.485802,0.062881,0.774646,0.015864,0.250639,0.000002,12.237461,0.087909
,,40000,0.555973,0.010174,0.913032,0.004607,0.555973,0.010174,0.632447,0.008961,0.380158,0.012129,0.822621,0.042393,0.381370,0.012429,0.520748,0.008739,0.775167,0.005185,0.329316,0.000003,16.429005,0.017910
5,RobustScaler + RUS/SMOTE,500,0.682260,0.019119,0.846234,0.008755,0.682260,0.019119,0.724621,0.016872,0.334704,0.002631,0.692683,0.051255,0.372586,0.003233,0.618985,0.019391,0.897613,0.020326,0.010998,0.000000,0.235605,0.000015
,,1000,0.698682,0.015854,0.855116,0.008538,0.698682,0.015854,0.739668,0.012943,0.338052,0.003906,0.659057,0.026301,0.379564,0.004363,0.637457,0.017288,0.903940,0.015584,0.017534,0.000000,0.251395,0.000007
,,2000,0.720482,0.008809,0.869922,0.003470,0.720482,0.008809,0.761237,0.007041,0.347907,0.003180,0.693229,0.030061,0.391415,0.003035,0.662117,0.008635,0.910259,0.008730,0.032405,0.000001,0.291139,0.000014
,,5000,0.716833,0.043955,0.858568,0.049552,0.716833,0.043955,0.758871,0.044817,0.350969,0.010477,0.680285,0.028912,0.394136,0.011980,0.651961,0.059846,0.901389,0.011447,0.084914,0.000000,0.382446,0.000047
,,10000,0.692387,0.053431,0.821629,0.059935,0.692387,0.053431,0.732177,0.055054,0.347951,0.008128,0.646014,0.021883,0.390843,0.009008,0.613863,0.073266,0.901044,0.012377,0.173448,0.000005,0.548756,0.000254
,,20000,0.662879,0.019582,0.782819,0.013747,0.662879,0.019582,0.700019,0.018483,0.341731,0.006797,0.642872,0.019059,0.382027,0.008226,0.569522,0.021949,0.868728,0.038527,0.340855,0.000005,0.855071,0.000146
,,30000,0.666782,0.018122,0.783983,0.011582,0.666782,0.018122,0.703236,0.016307,0.345817,0.005654,0.628322,0.028705,0.386790,0.006982,0.573348,0.020418,0.867131,0.043013,0.500995,0.000003,1.091298,0.000200
,,40000,0.671638,0.017267,0.785912,0.011326,0.671638,0.017267,0.708812,0.014141,0.350158,0.004750,0.639666,0.039854,0.389154,0.007706,0.577642,0.020157,0.852566,0.042503,0.668788,0.000092,1.480070,0.000935
6,RobustScaler + RUS/SMOTE/ENN,500,0.695134,0.017354,0.841450,0.021540,0.695134,0.017354,0.736853,0.021641,0.348495,0.011307,0.685749,0.035201,0.389440,0.009571,0.627806,0.019153,0.888934,0.004629,0.010204,0.000000,0.225010,0.000006
