N,métrica,tipo_tiempo,tiempo,valor_métrica,delta_métrica,delta_tiempo,VD,VD_normalizado
500.0,σ F1 MACRO,fit_time,0.002118875,0.005450625,,,,
1000.0,σ F1 MACRO,fit_time,0.002883,0.009252625,0.0038020000000000007,0.000764125,4.975625715687879,1.0
2000.0,σ F1 MACRO,fit_time,0.004564375,0.0077455,-0.0015071250000000007,0.0016813749999999997,-0.896364582558918,0.0
5000.0,σ F1 MACRO,fit_time,0.00953425,0.009887874999999999,0.0021423749999999993,0.0049698749999999995,0.43107221006564544,0.22606249758636301
10000.0,σ F1 MACRO,fit_time,0.018493,0.007553875,-0.0023339999999999993,0.00895875,-0.26052741732942647,0.10828307489188699
20000.0,σ F1 MACRO,fit_time,0.037830125,0.006477749999999999,-0.0010761250000000007,0.019337125,-0.05565072367272801,0.14317357764320598
30000.0,σ F1 MACRO,fit_time,0.0581705,0.006605875000000001,0.0001281250000000015,0.020340375,0.006299048075564069,0.15372362432274297
40000.0,σ F1 MACRO,fit_time,0.084316,0.007258125,0.0006522499999999992,0.026145500000000002,0.024946931594346987,0.1568993590517923
500.0,σ F1 MACRO,score_time,0.481174,0.005450625,,,,
1000.0,σ F1 MACRO,score_time,0.7371815,0.009252625,0.0038020000000000007,0.25600750000000005,0.014851127408376708,1.0
2000.0,σ F1 MACRO,score_time,1.2992875,0.0077455,-0.0015071250000000007,0.5621059999999999,-0.0026812113729438947,0.0
5000.0,σ F1 MACRO,score_time,2.45930225,0.009887874999999999,0.0021423749999999993,1.16001475,0.0018468515163277013,0.2582691873428723
10000.0,σ F1 MACRO,score_time,4.805788,0.007553875,-0.0023339999999999993,2.34648575,-0.0009946789576710617,0.09619551825394267
20000.0,σ F1 MACRO,score_time,9.733875125,0.006477749999999999,-0.0010761250000000007,4.928087125000001,-0.0002183656604894136,0.14047445370371575
30000.0,σ F1 MACRO,score_time,15.338201125000001,0.006605875000000001,0.0001281250000000015,5.604326,2.286180354247799e-05,0.15423345454443083
40000.0,σ F1 MACRO,score_time,21.186202124999998,0.007258125,0.0006522499999999992,5.8480009999999965,0.00011153383865700427,0.15929108183651802
500.0,σ F1 MACRO,total_time,0.483292875,0.005450625,,,,
1000.0,σ F1 MACRO,total_time,0.7400645,0.009252625,0.0038020000000000007,0.256771625,0.01480693203542253,1.0
2000.0,σ F1 MACRO,total_time,1.3038518749999999,0.0077455,-0.0015071250000000007,0.5637873749999999,-0.0026732152347327767,0.0
5000.0,σ F1 MACRO,total_time,2.4688365,0.009887874999999999,0.0021423749999999993,1.1649846250000002,0.001838972767559056,0.2581321502934765
10000.0,σ F1 MACRO,total_time,4.824281,0.007553875,-0.0023339999999999993,2.3554445,-0.0009908957736002692,0.09624172125853953
20000.0,σ F1 MACRO,total_time,9.77170525,0.006477749999999999,-0.0010761250000000007,4.94742425,-0.00021751217312725925,0.1404852615743265
30000.0,σ F1 MACRO,total_time,15.396371625,0.006605875000000001,0.0001281250000000015,5.624666375,2.2779128833219283e-05,0.15423178774752067
40000.0,σ F1 MACRO,total_time,21.270518125,0.007258125,0.0006522499999999992,5.874146499999998,0.00011103740773234024,0.1592808458323921
500.0,μ F1 MACRO,fit_time,0.002118875,0.322978375,,,,
1000.0,μ F1 MACRO,fit_time,0.002883,0.3535395,0.030561125000000022,0.000764125,39.9949288401767,1.0
2000.0,μ F1 MACRO,fit_time,0.004564375,0.36554575,0.012006249999999996,0.0016813749999999997,7.140733031001411,0.17035218615690528
5000.0,μ F1 MACRO,fit_time,0.00953425,0.383686375,0.01814062500000002,0.0049698749999999995,3.6501169546517818,0.08220569754614884
10000.0,μ F1 MACRO,fit_time,0.018493,0.3948925,0.011206124999999956,0.00895875,1.2508580996232683,0.021618615290974943
20000.0,μ F1 MACRO,fit_time,0.037830125,0.41171199999999997,0.016819499999999987,0.019337125,0.8698035514586572,0.011996067392497749
30000.0,μ F1 MACRO,fit_time,0.0581705,0.42489,0.013178000000000023,0.020340375,0.6478739944568388,0.006391809937433077
40000.0,μ F1 MACRO,fit_time,0.084316,0.43521112500000003,0.010321125000000042,0.026145500000000002,0.39475722399648283,0.0
500.0,μ F1 MACRO,score_time,0.481174,0.322978375,,,,
1000.0,μ F1 MACRO,score_time,0.7371815,0.3535395,0.030561125000000022,0.25600750000000005,0.11937589719051206,1.0
2000.0,μ F1 MACRO,score_time,1.2992875,0.36554575,0.012006249999999996,0.5621059999999999,0.02135940552137853,0.16660437964614935
5000.0,μ F1 MACRO,score_time,2.45930225,0.383686375,0.01814062500000002,1.16001475,0.015638270978881968,0.11795982616359242
10000.0,μ F1 MACRO,score_time,4.805788,0.3948925,0.011206124999999956,2.34648575,0.004775705541787312,0.025599710973582726
20000.0,μ F1 MACRO,score_time,9.733875125,0.41171199999999997,0.016819499999999987,4.928087125000001,0.0034129875494033567,0.01401305665357487
30000.0,μ F1 MACRO,score_time,15.338201125000001,0.42489,0.013178000000000023,5.604326,0.002351397830889927,0.004986777433050814
40000.0,μ F1 MACRO,score_time,21.186202124999998,0.43521112500000003,0.010321125000000042,5.8480009999999965,0.001764897954018826,0.0
500.0,μ F1 MACRO,total_time,0.483292875,0.322978375,,,,
1000.0,μ F1 MACRO,total_time,0.7400645,0.3535395,0.030561125000000022,0.256771625,0.11902064723857249,1.0
2000.0,μ F1 MACRO,total_time,1.3038518749999999,0.36554575,0.012006249999999996,0.5637873749999999,0.021295705672728125,0.16662171714425922
5000.0,μ F1 MACRO,total_time,2.4688365,0.383686375,0.01814062500000002,1.1649846250000002,0.01557155743579021,0.11780735356342363
10000.0,μ F1 MACRO,total_time,4.824281,0.3948925,0.011206124999999956,2.3554445,0.004757541517110659,0.025587641044980614
20000.0,μ F1 MACRO,total_time,9.77170525,0.41171199999999997,0.016819499999999987,4.94742425,0.003399647806633924,0.014007801644664938
30000.0,μ F1 MACRO,total_time,15.396371625,0.42489,0.013178000000000023,5.624666375,0.002342894515232474,0.004996026050029068
40000.0,μ F1 MACRO,total_time,21.270518125,0.43521112500000003,0.010321125000000042,5.874146499999998,0.0017570424911942603,0.0
500.0,μ ACCURACY,fit_time,0.002118875,0.47336174999999997,,,,
1000.0,μ ACCURACY,fit_time,0.002883,0.4921605,0.01879875000000003,0.000764125,24.601668575167714,1.0
2000.0,μ ACCURACY,fit_time,0.004564375,0.51756525,0.025404749999999976,0.0016813749999999997,15.109508586722166,0.6039549112146532
5000.0,μ ACCURACY,fit_time,0.00953425,0.526041125,0.008475875000000022,0.0049698749999999995,1.705450338288191,0.04469216748224995
10000.0,μ ACCURACY,fit_time,0.018493,0.5379205,0.011879375000000025,0.00895875,1.3260080926468565,0.02886055085896723
20000.0,μ ACCURACY,fit_time,0.037830125,0.560201875,0.022281374999999937,0.019337125,1.1522589319766996,0.02161114694586898
30000.0,μ ACCURACY,fit_time,0.0581705,0.576830125,0.01662825000000001,0.020340375,0.8174996773658307,0.007643856163216512
40000.0,μ ACCURACY,fit_time,0.084316,0.593414125,0.016584000000000043,0.026145500000000002,0.6342965328641657,0.0
500.0,μ ACCURACY,score_time,0.481174,0.47336174999999997,,,,
1000.0,μ ACCURACY,score_time,0.7371815,0.4921605,0.01879875000000003,0.25600750000000005,0.07343046590431931,1.0
2000.0,μ ACCURACY,score_time,1.2992875,0.51756525,0.025404749999999976,0.5621059999999999,0.04519565704689148,0.6000430793840009
5000.0,μ ACCURACY,score_time,2.45930225,0.526041125,0.008475875000000022,1.16001475,0.007306695884685968,0.06333138042067343
10000.0,μ ACCURACY,score_time,4.805788,0.5379205,0.011879375000000025,2.34648575,0.005062623968630547,0.031543239133141616
20000.0,μ ACCURACY,score_time,9.733875125,0.560201875,0.022281374999999937,4.928087125000001,0.0045213029791959965,0.023875219239956055
30000.0,μ ACCURACY,score_time,15.338201125000001,0.576830125,0.01662825000000001,5.604326,0.0029670383200406276,0.0018584629007496053
40000.0,μ ACCURACY,score_time,21.186202124999998,0.593414125,0.016584000000000043,5.8480009999999965,0.002835840828344601,0.0
500.0,μ ACCURACY,total_time,0.483292875,0.47336174999999997,,,,
1000.0,μ ACCURACY,total_time,0.7400645,0.4921605,0.01879875000000003,0.256771625,0.07321194466094152,1.0
2000.0,μ ACCURACY,total_time,1.3038518749999999,0.51756525,0.025404749999999976,0.5637873749999999,0.045060870687286994,0.600062743392007
5000.0,μ ACCURACY,total_time,2.4688365,0.526041125,0.008475875000000022,1.1649846250000002,0.007275525202746791,0.06325312017071479
10000.0,μ ACCURACY,total_time,4.824281,0.5379205,0.011879375000000025,2.3554445,0.005043368672027732,0.03154127286958308
20000.0,μ ACCURACY,total_time,9.77170525,0.560201875,0.022281374999999937,4.94742425,0.004503631359287601,0.02387332171616441
30000.0,μ ACCURACY,total_time,15.396371625,0.576830125,0.01662825000000001,5.624666375,0.0029563086752856537,0.0018907859910196052
40000.0,μ ACCURACY,total_time,21.270518125,0.593414125,0.016584000000000043,5.874146499999998,0.002823218658234017,0.0
